step,train_loss,train_acc,test_loss,test_acc,elapsed_sec,lr
0,5.057641,0.006803,5.097326,0.005739,0.5,0.000020
100,4.484043,0.026786,4.830425,0.005101,1.1,0.001000
200,3.005097,0.374150,4.950368,0.055473,1.7,0.001000
300,0.943083,0.873724,3.337943,0.359617,2.3,0.001000
400,0.190597,0.997236,2.504460,0.489054,2.9,0.001000
500,0.062515,0.999787,2.326684,0.502019,3.5,0.001000
600,0.031394,0.999575,2.167418,0.510733,4.0,0.001000
700,0.036687,0.997449,1.876633,0.542189,4.6,0.001000
800,0.005584,1.000000,1.595566,0.575558,5.2,0.001000
900,0.198921,0.983206,1.500983,0.586185,5.8,0.001000
1000,0.012035,1.000000,0.782743,0.773220,6.4,0.001000
1100,0.009610,1.000000,0.814326,0.768332,7.0,0.001000
1200,0.070125,1.000000,0.320708,0.968757,7.5,0.001000
1300,0.022948,1.000000,0.115246,0.997450,8.1,0.001000
1400,0.225757,0.993410,0.454812,0.954516,8.6,0.001000
1500,0.021010,1.000000,0.041956,0.999787,9.2,0.001000
1600,0.013411,1.000000,0.024955,1.000000,9.7,0.001000
1700,0.036702,1.000000,0.052237,0.999787,10.3,0.001000
1800,0.018263,1.000000,0.025195,1.000000,10.8,0.001000
1900,0.013149,1.000000,0.017594,1.000000,11.4,0.001000
2000,0.020545,1.000000,0.025105,1.000000,12.0,0.001000
2100,0.017147,1.000000,0.020630,1.000000,12.5,0.001000
2200,0.017705,1.000000,0.020471,1.000000,13.1,0.001000
2300,0.013942,1.000000,0.015809,1.000000,13.6,0.001000
2400,0.855865,0.795493,0.899650,0.781934,14.3,0.001000
2500,0.014267,1.000000,0.016213,1.000000,14.9,0.001000
2600,0.013912,1.000000,0.015358,1.000000,15.5,0.001000
2700,0.019366,1.000000,0.021832,1.000000,16.1,0.001000
2800,0.019644,1.000000,0.021563,1.000000,16.7,0.001000
2900,0.205850,0.991709,0.237589,0.985972,17.3,0.001000
3000,0.021794,1.000000,0.024036,1.000000,17.8,0.001000
3100,0.047164,0.999787,0.055667,0.999787,18.5,0.001000
3200,0.022939,1.000000,0.025170,1.000000,19.1,0.001000
3300,0.048973,0.999787,0.055406,1.000000,19.7,0.001000
3400,0.016979,1.000000,0.018648,1.000000,20.3,0.001000
3500,0.160709,0.992559,0.183902,0.989586,20.9,0.001000
3600,0.021095,1.000000,0.023287,1.000000,21.4,0.001000
3700,0.122039,0.997662,0.138138,0.996387,22.1,0.001000
3800,0.020897,1.000000,0.022786,1.000000,22.6,0.001000
3900,0.024749,1.000000,0.027772,1.000000,23.2,0.001000
4000,0.020997,1.000000,0.022839,1.000000,23.8,0.001000
4100,0.024000,1.000000,0.026706,1.000000,24.4,0.001000
4200,0.021524,1.000000,0.023078,1.000000,24.9,0.001000
4300,0.038522,1.000000,0.043112,1.000000,25.5,0.001000
4400,0.021173,1.000000,0.022543,1.000000,26.1,0.001000
4500,0.050166,0.999787,0.058550,0.999787,26.7,0.001000
4600,0.025750,1.000000,0.027818,1.000000,27.3,0.001000
4700,0.020321,1.000000,0.021592,1.000000,27.9,0.001000
4800,0.021824,1.000000,0.023924,1.000000,28.5,0.001000
