step,train_loss,train_acc,test_loss,test_acc,elapsed_sec,lr
0,5.112732,0.010629,5.117401,0.010627,0.0,0.000020
100,4.498036,0.030825,4.775194,0.003826,0.6,0.001000
200,3.217767,0.335459,5.108232,0.048672,1.2,0.001000
300,1.307707,0.788265,4.129576,0.280553,1.8,0.001000
400,0.272236,0.991284,3.205668,0.483103,2.4,0.001000
500,0.073538,0.999787,2.973786,0.493305,3.0,0.001000
600,0.051191,0.998512,2.881804,0.496068,3.6,0.001000
700,0.022588,0.999362,2.619610,0.506057,4.1,0.001000
800,0.007448,1.000000,2.391757,0.511583,4.7,0.001000
900,0.026305,0.999787,2.076484,0.534963,5.3,0.001000
1000,0.011656,1.000000,1.840972,0.551541,5.9,0.001000
1100,1.295601,0.676658,3.404325,0.304145,6.5,0.001000
1200,0.017284,1.000000,0.869473,0.766844,7.1,0.001000
1300,0.015460,1.000000,0.826140,0.791923,7.7,0.001000
1400,0.027983,1.000000,0.190807,0.991073,8.3,0.001000
1500,0.018829,1.000000,0.107976,0.995112,8.8,0.001000
1600,0.026601,1.000000,0.054854,0.999362,9.4,0.001000
1700,0.018782,1.000000,0.035432,0.999362,10.0,0.001000
1800,0.087105,0.998937,0.131103,0.997450,10.6,0.001000
1900,0.021075,1.000000,0.030182,0.999575,11.1,0.001000
2000,0.013967,1.000000,0.019239,1.000000,11.7,0.001000
2100,0.016943,1.000000,0.022008,1.000000,12.3,0.001000
2200,0.015288,1.000000,0.018909,1.000000,12.8,0.001000
2300,0.008534,1.000000,0.009928,1.000000,13.4,0.001000
2400,0.015357,1.000000,0.018938,1.000000,14.0,0.001000
2500,0.015829,1.000000,0.018536,1.000000,14.6,0.001000
2600,0.090797,0.998512,0.112480,0.997450,15.2,0.001000
2700,0.020286,1.000000,0.024124,1.000000,15.8,0.001000
2800,0.014533,1.000000,0.016171,1.000000,16.4,0.001000
2900,0.020647,1.000000,0.024205,1.000000,16.9,0.001000
3000,0.018133,1.000000,0.020035,1.000000,17.5,0.001000
3100,0.026304,1.000000,0.031310,0.999787,18.0,0.001000
3200,0.021560,1.000000,0.023825,1.000000,18.6,0.001000
3300,0.297370,0.983418,0.336143,0.974920,19.2,0.001000
3400,0.020402,1.000000,0.022840,1.000000,19.8,0.001000
3500,0.014924,1.000000,0.016126,1.000000,20.4,0.001000
3600,0.020132,1.000000,0.022875,1.000000,21.0,0.001000
3700,0.019349,1.000000,0.021010,1.000000,21.5,0.001000
3800,0.024046,1.000000,0.028526,1.000000,22.1,0.001000
3900,0.021190,1.000000,0.023250,1.000000,22.7,0.001000
4000,0.025242,1.000000,0.029950,1.000000,23.3,0.001000
4100,0.020137,1.000000,0.022114,1.000000,23.8,0.001000
4200,0.038636,1.000000,0.047669,0.999150,24.4,0.001000
4300,0.020754,1.000000,0.023154,1.000000,25.0,0.001000
4400,0.263886,0.987245,0.307578,0.975558,25.6,0.001000
4500,0.024639,1.000000,0.027617,1.000000,26.2,0.001000
4600,0.018342,1.000000,0.019798,1.000000,26.7,0.001000
4700,0.024147,1.000000,0.027951,1.000000,27.3,0.001000
4800,0.020128,1.000000,0.022088,1.000000,27.9,0.001000
4900,0.042680,1.000000,0.051644,0.999575,28.5,0.001000
5000,0.022367,1.000000,0.024635,1.000000,29.1,0.001000
5100,0.229844,0.988733,0.278028,0.980234,29.7,0.001000
5200,0.023155,1.000000,0.026038,1.000000,30.3,0.001000
5300,1.242674,0.715561,1.324407,0.688417,30.9,0.001000
5400,0.022634,1.000000,0.025503,1.000000,31.5,0.001000
5500,2.700964,0.370961,2.784929,0.357492,32.1,0.001000
5600,0.021648,1.000000,0.023839,1.000000,32.7,0.001000
5700,0.017128,1.000000,0.018322,1.000000,33.3,0.001000
5800,0.025447,1.000000,0.029247,1.000000,33.9,0.001000
5900,0.022147,1.000000,0.024130,1.000000,34.5,0.001000
6000,0.049056,1.000000,0.059012,0.999787,35.1,0.001000
6100,0.023780,1.000000,0.026013,1.000000,35.7,0.001000
6200,0.202745,0.988946,0.230919,0.985547,36.3,0.001000
6300,0.020903,1.000000,0.022785,1.000000,36.8,0.001000
6400,1.742194,0.474065,1.852644,0.442933,37.4,0.001000
6500,0.020539,1.000000,0.022542,1.000000,38.0,0.001000
6600,0.016009,1.000000,0.017143,1.000000,38.5,0.001000
6700,0.023400,1.000000,0.026340,1.000000,39.1,0.001000
6800,0.022214,1.000000,0.024030,1.000000,39.7,0.001000
6900,0.028297,1.000000,0.032254,1.000000,40.3,0.001000
7000,0.023753,1.000000,0.025723,1.000000,40.9,0.001000
7100,0.054097,0.999787,0.064048,0.999575,41.4,0.001000
7200,0.022291,1.000000,0.024050,1.000000,42.0,0.001000
7300,2.356554,0.375425,2.456095,0.361955,42.6,0.001000
7400,0.020389,1.000000,0.022139,1.000000,43.2,0.001000
7500,0.016186,1.000000,0.017033,1.000000,43.8,0.001000
7600,0.019472,1.000000,0.021229,1.000000,44.4,0.001000
7700,0.017938,1.000000,0.019042,1.000000,44.9,0.001000
7800,0.020836,1.000000,0.023696,1.000000,45.5,0.001000
7900,0.020163,1.000000,0.021579,1.000000,46.0,0.001000
8000,0.028229,1.000000,0.032363,1.000000,46.6,0.001000
8100,0.019793,1.000000,0.021104,1.000000,47.2,0.001000
8200,0.055710,1.000000,0.064595,1.000000,47.7,0.001000
8300,0.023781,1.000000,0.025696,1.000000,48.3,0.001000
8400,4.112016,0.133078,4.176751,0.131562,48.9,0.001000
8500,0.020436,1.000000,0.022546,1.000000,49.5,0.001000
8600,0.016439,1.000000,0.017634,1.000000,50.1,0.001000
8700,0.023787,1.000000,0.026168,1.000000,50.7,0.001000
8800,0.021494,1.000000,0.022624,1.000000,51.2,0.001000
8900,0.026144,1.000000,0.029277,1.000000,51.7,0.001000
9000,0.021521,1.000000,0.022882,1.000000,52.3,0.001000
9100,0.163817,0.995323,0.191439,0.991711,52.9,0.001000
9200,0.024440,1.000000,0.026638,1.000000,53.4,0.001000
9300,0.018530,1.000000,0.019632,1.000000,54.0,0.001000
9400,0.021393,1.000000,0.022988,1.000000,54.6,0.001000
9500,0.018060,1.000000,0.018900,1.000000,55.2,0.001000
9600,0.021506,1.000000,0.023500,1.000000,55.8,0.001000
9700,0.018586,1.000000,0.019517,1.000000,56.3,0.001000
9800,0.091305,0.999362,0.108939,0.998300,56.9,0.001000
9900,0.022888,1.000000,0.024725,1.000000,57.5,0.001000
10000,0.020086,1.000000,0.021324,1.000000,58.1,0.001000
10100,0.024158,1.000000,0.026293,1.000000,58.6,0.001000
10200,0.020552,1.000000,0.021741,1.000000,59.3,0.001000
10300,0.023820,1.000000,0.026375,1.000000,59.9,0.001000
10400,0.021750,1.000000,0.023030,1.000000,60.5,0.001000
10500,0.256729,0.984056,0.299057,0.977683,61.1,0.001000
10600,0.020254,1.000000,0.021911,1.000000,61.6,0.001000
10700,1.231850,0.690051,1.288773,0.676302,62.3,0.001000
10800,0.023912,1.000000,0.026272,1.000000,63.0,0.001000
10900,0.019363,1.000000,0.020685,1.000000,63.6,0.001000
11000,0.022399,1.000000,0.024618,1.000000,64.3,0.001000
11100,0.020465,1.000000,0.021561,1.000000,65.0,0.001000
11200,0.026669,1.000000,0.030398,1.000000,65.6,0.001000
11300,0.019671,1.000000,0.020975,1.000000,66.2,0.001000
11400,0.197953,0.987670,0.218653,0.984697,66.8,0.001000
11500,0.021130,1.000000,0.022717,1.000000,67.4,0.001000
11600,0.016562,1.000000,0.017354,1.000000,68.0,0.001000
11700,0.019695,1.000000,0.021262,1.000000,68.5,0.001000
11800,0.017008,1.000000,0.017852,1.000000,69.1,0.001000
11900,0.034126,1.000000,0.039520,1.000000,69.7,0.001000
12000,0.023175,1.000000,0.024571,1.000000,70.3,0.001000
12100,0.244956,0.989371,0.271157,0.984910,71.0,0.001000
12200,0.023062,1.000000,0.024681,1.000000,71.6,0.001000
12300,0.017121,1.000000,0.017980,1.000000,72.3,0.001000
12400,0.019752,1.000000,0.021775,1.000000,72.9,0.001000
12500,0.019197,1.000000,0.020277,1.000000,73.5,0.001000
12600,0.067855,1.000000,0.082676,0.998300,74.1,0.001000
12700,0.024610,1.000000,0.026381,1.000000,74.7,0.001000
12800,0.797516,0.845663,0.847534,0.837194,75.2,0.001000
12900,0.024379,1.000000,0.026343,1.000000,75.9,0.001000
13000,0.019738,1.000000,0.020856,1.000000,76.5,0.001000
13100,0.020717,1.000000,0.022658,1.000000,77.1,0.001000
13200,0.017219,1.000000,0.018376,1.000000,77.6,0.001000
13300,0.028778,1.000000,0.033431,1.000000,78.2,0.001000
13400,0.022219,1.000000,0.023707,1.000000,78.8,0.001000
13500,0.250373,0.980655,0.299787,0.971307,79.4,0.001000
13600,0.022330,1.000000,0.024144,1.000000,79.9,0.001000
13700,0.016601,1.000000,0.017467,1.000000,80.5,0.001000
13800,0.018257,1.000000,0.019755,1.000000,81.2,0.001000
13900,0.017311,1.000000,0.018279,1.000000,81.8,0.001000
14000,0.033099,1.000000,0.038364,1.000000,82.4,0.001000
14100,0.023468,1.000000,0.025007,1.000000,83.0,0.001000
14200,0.840527,0.857143,0.906439,0.835919,83.6,0.001000
14300,0.022673,1.000000,0.024472,1.000000,84.2,0.001000
14400,0.018069,1.000000,0.019182,1.000000,84.7,0.001000
14500,0.022145,1.000000,0.024086,1.000000,85.3,0.001000
14600,0.018506,1.000000,0.019644,1.000000,85.9,0.001000
14700,0.023600,1.000000,0.026479,1.000000,86.5,0.001000
14800,0.021437,1.000000,0.022733,1.000000,87.1,0.001000
14900,0.038930,1.000000,0.045261,0.999362,87.6,0.001000
15000,0.021360,1.000000,0.022841,1.000000,88.2,0.001000
15100,0.024863,1.000000,0.027234,1.000000,88.8,0.001000
15200,0.020191,1.000000,0.021411,1.000000,89.4,0.001000
15300,0.132776,0.997662,0.155240,0.997450,89.9,0.001000
15400,0.024375,1.000000,0.026356,1.000000,90.6,0.001000
15500,0.018274,1.000000,0.019424,1.000000,91.2,0.001000
15600,0.023933,1.000000,0.026108,1.000000,91.8,0.001000
15700,0.020857,1.000000,0.022055,1.000000,92.4,0.001000
15800,0.021734,1.000000,0.023927,1.000000,92.9,0.001000
15900,0.020430,1.000000,0.021602,1.000000,93.5,0.001000
16000,0.036538,1.000000,0.043686,0.999787,94.0,0.001000
16100,0.021584,1.000000,0.023029,1.000000,94.6,0.001000
16200,0.131844,0.998724,0.154690,0.995324,95.3,0.001000
16300,0.019964,1.000000,0.021462,1.000000,95.8,0.001000
16400,0.014113,1.000000,0.014961,1.000000,96.4,0.001000
16500,0.022392,1.000000,0.025568,1.000000,97.1,0.001000
16600,0.021556,1.000000,0.022935,1.000000,97.7,0.001000
16700,0.111061,0.999787,0.133750,0.996599,98.4,0.001000
16800,0.022783,1.000000,0.024536,1.000000,99.0,0.001000
16900,0.129257,0.996811,0.149265,0.995537,99.6,0.001000
17000,0.021490,1.000000,0.023088,1.000000,100.1,0.001000
17100,0.014637,1.000000,0.015557,1.000000,100.8,0.001000
17200,0.019168,1.000000,0.020803,1.000000,101.3,0.001000
17300,0.018240,1.000000,0.019204,1.000000,101.9,0.001000
17400,0.024181,1.000000,0.027245,1.000000,102.5,0.001000
17500,0.020870,1.000000,0.022160,1.000000,103.0,0.001000
17600,0.021515,1.000000,0.023937,1.000000,103.6,0.001000
17700,0.017292,1.000000,0.018419,1.000000,104.3,0.001000
17800,0.022952,1.000000,0.025784,1.000000,104.9,0.001000
17900,0.018117,1.000000,0.019091,1.000000,105.4,0.001000
18000,4.313357,0.181335,4.380947,0.167056,106.1,0.001000
18100,0.020181,1.000000,0.021957,1.000000,106.6,0.001000
18200,0.019204,1.000000,0.020296,1.000000,107.2,0.001000
18300,0.020234,1.000000,0.021922,1.000000,107.8,0.001000
18400,0.016461,1.000000,0.017447,1.000000,108.4,0.001000
18500,0.024149,1.000000,0.028580,1.000000,109.0,0.001000
18600,0.019172,1.000000,0.020616,1.000000,109.6,0.001000
18700,0.279381,0.972576,0.307003,0.968119,110.2,0.001000
18800,0.020560,1.000000,0.022329,1.000000,110.8,0.001000
18900,0.016757,1.000000,0.017715,1.000000,111.4,0.001000
19000,0.024156,1.000000,0.027232,1.000000,112.0,0.001000
19100,0.022357,1.000000,0.023924,1.000000,112.5,0.001000
19200,0.048841,1.000000,0.057093,0.999150,113.2,0.001000
19300,0.022136,1.000000,0.024037,1.000000,113.7,0.001000
19400,0.014063,1.000000,0.015034,1.000000,114.3,0.001000
19500,0.019122,1.000000,0.021019,1.000000,114.9,0.001000
19600,0.018099,1.000000,0.019219,1.000000,115.4,0.001000
19700,0.021543,1.000000,0.023355,1.000000,116.0,0.001000
19800,0.017752,1.000000,0.018766,1.000000,116.6,0.001000
19900,0.023619,1.000000,0.026958,1.000000,117.2,0.001000
20000,0.020449,1.000000,0.021562,1.000000,117.7,0.001000
20100,0.024556,1.000000,0.027322,1.000000,118.3,0.001000
20200,0.021332,1.000000,0.022482,1.000000,118.9,0.001000
