step,train_loss,train_acc,test_loss,test_acc,elapsed_sec,lr
0,4.992526,0.010444,4.997588,0.010208,1.1,0.000020
100,4.600938,0.010344,4.601635,0.010324,2.8,0.001000
200,4.590542,0.010260,4.592133,0.010116,4.4,0.001000
300,4.585325,0.010632,4.586985,0.010736,6.0,0.001000
400,4.581915,0.010712,4.584365,0.010012,7.7,0.001000
500,4.581660,0.010588,4.583039,0.009952,9.4,0.001000
600,4.579267,0.010800,4.581903,0.010528,11.1,0.001000
700,4.577528,0.010616,4.579737,0.009940,12.8,0.001000
800,4.576930,0.010924,4.580216,0.009972,14.5,0.001000
900,4.575336,0.011228,4.578640,0.009964,16.2,0.001000
1000,4.575412,0.011464,4.579829,0.010016,17.8,0.001000
1100,4.574158,0.011308,4.578954,0.010424,19.5,0.001000
1200,4.574288,0.011460,4.578378,0.010132,21.2,0.001000
1300,4.554336,0.012804,4.558276,0.011676,23.0,0.001000
1400,3.547145,0.075212,3.549613,0.074036,24.6,0.001000
1500,2.994937,0.210736,2.996528,0.207308,26.3,0.001000
1600,2.739208,0.130500,2.741077,0.128232,28.0,0.001000
1700,2.413578,0.250088,2.415411,0.247940,29.8,0.001000
1800,2.251491,0.291720,2.253474,0.287928,31.6,0.001000
1900,2.217715,0.242652,2.218215,0.241508,33.3,0.001000
2000,2.134585,0.262264,2.135434,0.262148,35.0,0.001000
2100,2.109519,0.258556,2.110719,0.257072,36.7,0.001000
2200,2.146330,0.244264,2.147108,0.244596,38.4,0.001000
2300,2.059869,0.260512,2.061129,0.259280,40.2,0.001000
2400,2.050499,0.286580,2.052452,0.283560,41.9,0.001000
2500,2.077977,0.263764,2.079288,0.260268,43.6,0.001000
2600,2.083140,0.249752,2.084991,0.249800,45.3,0.001000
2700,2.037691,0.260128,2.038466,0.259008,46.9,0.001000
2800,2.055576,0.254684,2.055796,0.255068,48.6,0.001000
2900,2.056142,0.251872,2.057232,0.251120,50.3,0.001000
3000,2.083880,0.258760,2.084163,0.259576,52.0,0.001000
3100,2.103880,0.230896,2.103933,0.228832,53.7,0.001000
3200,2.182136,0.179324,2.183470,0.179524,55.3,0.001000
3300,2.064821,0.242252,2.066045,0.241940,57.0,0.001000
3400,2.145484,0.202120,2.147083,0.199916,58.7,0.001000
3500,2.241512,0.176988,2.240648,0.175364,60.4,0.001000
3600,2.015643,0.297532,2.016327,0.295028,62.1,0.001000
3700,2.028833,0.273204,2.030377,0.271704,63.8,0.001000
3800,2.129887,0.222516,2.131567,0.219536,65.5,0.001000
3900,2.179932,0.194208,2.180039,0.190824,67.2,0.001000
4000,2.154815,0.174768,2.154790,0.174436,68.9,0.001000
4100,2.013295,0.256312,2.014285,0.253656,70.6,0.001000
4200,2.083250,0.226736,2.083571,0.223632,72.3,0.001000
4300,2.039782,0.249576,2.041195,0.249292,74.0,0.001000
4400,1.981572,0.262684,1.982588,0.261188,75.7,0.001000
4500,1.953689,0.288904,1.954057,0.289188,77.3,0.001000
4600,1.959021,0.268028,1.959699,0.269232,79.0,0.001000
4700,1.926932,0.296376,1.927231,0.294952,80.7,0.001000
4800,2.030519,0.227000,2.032198,0.225152,82.4,0.001000
4900,1.934521,0.297564,1.935800,0.295060,84.1,0.001000
5000,2.189099,0.200844,2.187564,0.199364,85.7,0.001000
5100,2.103599,0.209304,2.105076,0.208180,87.4,0.001000
5200,2.023401,0.225288,2.024008,0.224276,89.1,0.001000
5300,2.228893,0.170508,2.229001,0.168900,90.8,0.001000
5400,2.130336,0.190012,2.130537,0.190340,92.5,0.001000
5500,2.048413,0.226324,2.049771,0.226680,94.1,0.001000
5600,1.891045,0.295192,1.892390,0.291800,95.8,0.001000
5700,2.027716,0.219648,2.028016,0.218712,97.5,0.001000
5800,1.993586,0.238308,1.994688,0.238416,99.2,0.001000
5900,1.887698,0.312528,1.889031,0.309048,100.9,0.001000
6000,1.945886,0.272600,1.945592,0.272356,102.5,0.001000
6100,1.875842,0.311668,1.875623,0.310004,104.2,0.001000
6200,1.927912,0.273772,1.928488,0.272920,105.9,0.001000
6300,1.947463,0.248604,1.948530,0.248168,107.6,0.001000
6400,1.937324,0.246740,1.936906,0.246096,109.2,0.001000
6500,1.880859,0.281952,1.882787,0.278832,110.9,0.001000
6600,2.132020,0.189876,2.133469,0.189492,112.6,0.001000
6700,1.855172,0.312128,1.856043,0.310012,114.3,0.001000
6800,2.001065,0.233668,2.001775,0.233912,116.0,0.001000
6900,1.809565,0.340220,1.810276,0.340832,117.8,0.001000
7000,1.900574,0.278332,1.901984,0.277464,119.5,0.001000
7100,1.921115,0.286884,1.922513,0.285684,121.1,0.001000
7200,1.950291,0.247336,1.951048,0.246296,122.9,0.001000
7300,1.805635,0.341040,1.806193,0.340224,124.6,0.001000
7400,1.841834,0.312984,1.843156,0.310184,126.2,0.001000
7500,1.874384,0.288304,1.874160,0.287352,127.9,0.001000
7600,2.150037,0.193948,2.151818,0.193776,129.6,0.001000
7700,1.868420,0.294676,1.868806,0.290988,131.3,0.001000
7800,1.880288,0.295024,1.882343,0.293964,133.0,0.001000
7900,1.904375,0.272112,1.904883,0.271724,134.6,0.001000
8000,1.860830,0.291756,1.861426,0.290292,136.3,0.001000
8100,1.883189,0.302640,1.883941,0.302876,138.0,0.001000
8200,1.810581,0.338832,1.812510,0.335940,139.7,0.001000
8300,1.960141,0.231460,1.960819,0.230452,141.4,0.001000
8400,1.783202,0.346420,1.784435,0.343640,143.1,0.001000
8500,1.798440,0.315804,1.799512,0.314644,144.9,0.001000
8600,1.841715,0.293428,1.842093,0.294280,146.6,0.001000
8700,1.995634,0.260708,1.995513,0.260688,148.3,0.001000
8800,2.007694,0.223988,2.009756,0.222688,150.0,0.001000
8900,1.893458,0.259532,1.893998,0.258212,151.6,0.001000
9000,1.868422,0.295092,1.869503,0.294128,153.3,0.001000
9100,1.849226,0.306568,1.850217,0.304372,155.0,0.001000
9200,1.932821,0.251856,1.935693,0.250684,156.7,0.001000
9300,1.748317,0.380240,1.749071,0.379136,158.4,0.001000
9400,1.790146,0.346996,1.790468,0.348360,160.1,0.001000
9500,1.841291,0.288544,1.841330,0.288124,161.8,0.001000
9600,1.801856,0.317640,1.802502,0.316536,163.5,0.001000
9700,1.858583,0.247784,1.860179,0.245540,165.3,0.001000
9800,1.797694,0.326348,1.798129,0.325420,167.0,0.001000
9900,1.702524,0.398756,1.703110,0.399324,168.7,0.001000
10000,1.770877,0.319520,1.770654,0.318124,170.4,0.001000
10100,1.798561,0.287888,1.797512,0.287036,172.1,0.001000
10200,1.746307,0.337640,1.744814,0.337168,173.8,0.001000
10300,1.791337,0.315960,1.791424,0.315432,175.5,0.001000
10400,1.753034,0.315144,1.754098,0.313348,177.3,0.001000
10500,1.741989,0.302532,1.742194,0.302824,179.0,0.001000
10600,1.800733,0.279604,1.801748,0.279756,180.7,0.001000
10700,1.671352,0.336988,1.672955,0.336188,182.4,0.001000
10800,1.834710,0.275296,1.836582,0.273224,184.2,0.001000
10900,2.016415,0.208708,2.018614,0.207648,185.8,0.001000
11000,1.653187,0.357028,1.652791,0.359224,187.5,0.001000
11100,1.635424,0.388984,1.635867,0.390392,189.2,0.001000
11200,1.863633,0.213388,1.864948,0.211700,190.9,0.001000
11300,1.836379,0.271568,1.839437,0.272124,192.6,0.001000
11400,1.627874,0.374528,1.628297,0.371844,194.3,0.001000
11500,1.732128,0.295340,1.732770,0.294932,196.0,0.001000
11600,2.885151,0.118924,2.884067,0.119148,197.7,0.001000
11700,1.575449,0.400340,1.575936,0.398384,199.3,0.001000
11800,1.565844,0.411156,1.567303,0.410184,201.0,0.001000
11900,1.611953,0.377748,1.613601,0.371732,202.8,0.001000
12000,1.586948,0.396552,1.587117,0.395824,204.4,0.001000
12100,1.694168,0.364092,1.698102,0.360024,206.1,0.001000
12200,1.721228,0.300224,1.721520,0.298564,207.8,0.001000
12300,1.651709,0.330292,1.652986,0.329172,209.5,0.001000
12400,1.591548,0.359528,1.593123,0.357904,211.2,0.001000
12500,2.030982,0.195084,2.027423,0.196668,212.9,0.001000
12600,1.659109,0.347580,1.659685,0.347580,214.6,0.001000
12700,1.587357,0.387440,1.589276,0.385160,216.3,0.001000
12800,1.552043,0.415280,1.554065,0.413632,218.0,0.001000
12900,1.575625,0.381820,1.576808,0.381508,219.6,0.001000
13000,1.493786,0.473436,1.495390,0.469760,221.3,0.001000
13100,1.556180,0.416484,1.556801,0.414680,223.0,0.001000
13200,1.842969,0.290820,1.844180,0.289364,224.7,0.001000
13300,1.499888,0.453264,1.499203,0.455292,226.5,0.001000
13400,1.696115,0.322320,1.698732,0.320932,228.3,0.001000
13500,1.751452,0.262880,1.753530,0.261188,230.0,0.001000
13600,1.571964,0.380856,1.572357,0.380964,231.7,0.001000
13700,1.585123,0.346320,1.585916,0.346672,233.4,0.001000
13800,1.769318,0.281316,1.769394,0.280100,235.1,0.001000
13900,2.783353,0.115476,2.779418,0.115808,236.7,0.001000
14000,1.577660,0.360356,1.580179,0.359336,238.4,0.001000
14100,1.499537,0.437172,1.500669,0.436092,240.0,0.001000
14200,1.654876,0.356004,1.653511,0.356192,241.7,0.001000
14300,1.636436,0.380936,1.636134,0.380812,243.4,0.001000
14400,2.093044,0.209996,2.093439,0.206824,245.1,0.001000
14500,1.606504,0.346512,1.607617,0.346220,246.8,0.001000
14600,1.492487,0.439488,1.494194,0.436352,248.5,0.001000
14700,1.707596,0.303212,1.707452,0.302920,250.2,0.001000
14800,1.530417,0.413536,1.533076,0.409632,251.8,0.001000
14900,1.606336,0.347052,1.607281,0.345556,253.5,0.001000
15000,1.454697,0.473924,1.457046,0.470428,255.2,0.001000
15100,1.571253,0.417316,1.573046,0.415644,256.9,0.001000
15200,1.593155,0.364316,1.593768,0.364408,258.5,0.001000
15300,1.548849,0.416796,1.550200,0.417788,260.3,0.001000
15400,1.511564,0.460312,1.512362,0.460072,261.9,0.001000
15500,1.630768,0.341056,1.630083,0.339200,263.6,0.001000
15600,1.547691,0.371292,1.549441,0.370352,265.3,0.001000
15700,1.541891,0.405624,1.541647,0.406128,267.0,0.001000
15800,1.617518,0.357804,1.617577,0.356188,268.6,0.001000
15900,1.607094,0.344768,1.608553,0.344944,270.3,0.001000
16000,1.494662,0.440920,1.495736,0.441616,272.0,0.001000
16100,1.857105,0.273428,1.854929,0.274608,273.7,0.001000
16200,1.585606,0.356284,1.588125,0.354420,275.4,0.001000
16300,1.923061,0.272504,1.923783,0.269768,277.1,0.001000
16400,1.544643,0.393976,1.544131,0.394860,278.8,0.001000
16500,1.669891,0.350060,1.672418,0.348420,280.5,0.001000
16600,1.471329,0.463544,1.471788,0.462392,282.1,0.001000
16700,1.607230,0.373848,1.608130,0.372164,283.8,0.001000
16800,1.473422,0.437332,1.473981,0.436340,285.5,0.001000
16900,1.563466,0.394292,1.563598,0.394648,287.1,0.001000
17000,1.484272,0.431788,1.484558,0.433504,288.8,0.001000
17100,1.566254,0.409388,1.567105,0.408064,290.5,0.001000
17200,1.613039,0.350120,1.613018,0.350908,292.3,0.001000
17300,1.447762,0.472856,1.447791,0.473976,294.0,0.001000
17400,1.508520,0.378960,1.507865,0.380256,295.6,0.001000
17500,1.553516,0.405816,1.554501,0.404860,297.3,0.001000
17600,1.881661,0.286792,1.882207,0.285512,299.0,0.001000
17700,1.421127,0.521092,1.421397,0.521852,300.7,0.001000
17800,2.341051,0.146568,2.340127,0.145868,302.4,0.001000
17900,1.583367,0.364816,1.585255,0.361628,304.1,0.001000
18000,1.593595,0.346120,1.595318,0.347884,305.8,0.001000
18100,1.487309,0.425260,1.486734,0.424768,307.5,0.001000
18200,1.509056,0.430620,1.510930,0.430532,309.2,0.001000
18300,1.711674,0.318088,1.711990,0.315280,310.8,0.001000
18400,1.885428,0.211384,1.888649,0.209164,312.5,0.001000
18500,1.493816,0.411528,1.493218,0.410400,314.3,0.001000
18600,1.698273,0.312184,1.697955,0.310336,315.9,0.001000
18700,1.630952,0.320520,1.632618,0.318956,317.6,0.001000
18800,1.589648,0.353456,1.589561,0.353064,319.4,0.001000
18900,1.950200,0.252944,1.951136,0.251120,321.0,0.001000
19000,1.556531,0.391856,1.556813,0.391064,322.7,0.001000
19100,1.546015,0.403260,1.546914,0.402944,324.4,0.001000
19200,1.465854,0.457336,1.465667,0.457860,326.1,0.001000
19300,2.310642,0.189264,2.311169,0.186952,327.8,0.001000
19400,1.630823,0.337904,1.630756,0.334524,329.5,0.001000
19500,1.639963,0.319088,1.639288,0.317752,331.2,0.001000
19600,1.454938,0.449852,1.455126,0.450336,332.9,0.001000
19700,1.564709,0.392972,1.565685,0.392864,334.6,0.001000
19800,1.515928,0.401380,1.516839,0.399312,336.3,0.001000
19900,1.514264,0.382692,1.516462,0.378112,338.0,0.001000
20000,1.625486,0.360076,1.626092,0.359736,339.7,0.001000
20100,1.469020,0.460084,1.469543,0.459436,341.4,0.001000
20200,1.567056,0.384104,1.567298,0.384328,343.1,0.001000
20300,1.490773,0.430064,1.493274,0.427792,344.7,0.001000
20400,1.596997,0.354956,1.598600,0.353096,346.4,0.001000
20500,1.796474,0.296800,1.798786,0.294504,348.1,0.001000
20600,1.440231,0.484720,1.439952,0.482672,349.8,0.001000
20700,1.736034,0.300792,1.737709,0.300176,351.5,0.001000
20800,1.549569,0.386424,1.550239,0.387144,353.2,0.001000
20900,1.538803,0.421172,1.539564,0.419684,354.9,0.001000
21000,1.480158,0.456628,1.481078,0.456368,356.6,0.001000
21100,1.488524,0.434652,1.488986,0.432392,358.3,0.001000
21200,1.589696,0.378656,1.591078,0.375888,360.0,0.001000
21300,1.457778,0.467764,1.459143,0.466840,361.8,0.001000
21400,1.709363,0.296860,1.707633,0.295176,363.5,0.001000
21500,2.747623,0.119840,2.747402,0.119136,365.1,0.001000
21600,1.514590,0.423588,1.515606,0.421836,366.8,0.001000
21700,1.532964,0.395804,1.532949,0.399072,368.5,0.001000
21800,1.638668,0.338548,1.638857,0.339436,370.2,0.001000
21900,1.555266,0.358252,1.554972,0.357384,371.9,0.001000
22000,1.843717,0.272064,1.843883,0.271516,373.6,0.001000
22100,1.464675,0.476272,1.465418,0.474900,375.3,0.001000
22200,1.421932,0.505804,1.422833,0.506636,377.0,0.001000
22300,1.755345,0.328408,1.755363,0.327028,378.7,0.001000
22400,1.452810,0.479852,1.454126,0.478576,380.4,0.001000
22500,1.469945,0.464616,1.469409,0.463712,382.1,0.001000
22600,1.581497,0.355032,1.583625,0.353920,383.8,0.001000
22700,1.480399,0.460884,1.480877,0.460100,385.5,0.001000
22800,1.590856,0.355004,1.589682,0.355852,387.1,0.001000
22900,1.472590,0.460268,1.473888,0.459112,388.8,0.001000
23000,1.783666,0.275872,1.786180,0.276444,390.6,0.001000
23100,1.565694,0.389224,1.565633,0.388808,392.3,0.001000
23200,1.552960,0.351192,1.552477,0.350628,394.0,0.001000
23300,1.446109,0.449004,1.445585,0.447156,395.7,0.001000
23400,1.764122,0.298928,1.766048,0.298224,397.4,0.001000
23500,2.337423,0.191532,2.338546,0.189232,399.0,0.001000
23600,1.516464,0.391160,1.517199,0.390472,400.7,0.001000
23700,1.454939,0.489636,1.457152,0.487292,402.4,0.001000
23800,1.694487,0.306536,1.694683,0.305332,404.1,0.001000
23900,1.585959,0.392236,1.588142,0.390696,405.8,0.001000
24000,1.582639,0.366528,1.583037,0.364344,407.5,0.001000
24100,1.551295,0.388008,1.553604,0.385888,409.1,0.001000
24200,1.720677,0.294436,1.719626,0.294980,410.8,0.001000
24300,1.540449,0.396200,1.540346,0.395912,412.5,0.001000
24400,1.547365,0.394800,1.547359,0.396028,414.2,0.001000
24500,1.404818,0.517692,1.406436,0.514852,415.9,0.001000
24600,2.384907,0.126972,2.383495,0.127040,417.6,0.001000
24700,1.599849,0.349772,1.599640,0.347172,419.3,0.001000
24800,1.460250,0.473008,1.461815,0.471200,420.9,0.001000
24900,1.681898,0.314464,1.685076,0.311932,422.6,0.001000
25000,1.429583,0.515228,1.430512,0.512980,424.3,0.001000
25100,1.479699,0.443464,1.480203,0.441364,426.1,0.001000
25200,1.652921,0.347320,1.654861,0.346236,427.7,0.001000
25300,1.430014,0.507836,1.430671,0.507160,429.5,0.001000
25400,1.562845,0.384224,1.565309,0.382768,431.3,0.001000
25500,2.620452,0.137268,2.620425,0.136604,433.0,0.001000
