step,train_loss,train_acc,test_loss,test_acc,elapsed_sec,lr
0,5.210277,0.008503,5.225291,0.010414,0.0,0.000020
100,4.462158,0.036139,4.859263,0.005526,0.6,0.001000
200,3.139275,0.346726,5.087615,0.048247,1.2,0.001000
300,1.264215,0.804209,4.081037,0.297343,1.8,0.001000
400,0.263201,0.989796,3.297173,0.477152,2.4,0.001000
500,0.087121,0.999362,3.122388,0.485441,3.0,0.001000
600,0.063948,0.997024,3.014791,0.487141,3.6,0.001000
700,0.017667,1.000000,2.765828,0.495855,4.2,0.001000
800,0.007659,1.000000,2.540810,0.501807,4.8,0.001000
900,0.014463,1.000000,1.864081,0.556429,5.4,0.001000
1000,0.009005,1.000000,1.675754,0.578959,6.0,0.001000
1100,1.533068,0.618410,3.319154,0.281828,6.6,0.001000
1200,0.022966,1.000000,0.347376,0.956217,7.1,0.001000
1300,0.015555,1.000000,0.241085,0.977683,7.7,0.001000
1400,0.078630,0.999787,0.209150,0.990223,8.3,0.001000
1500,0.018172,1.000000,0.045557,0.998937,8.9,0.001000
1600,0.011405,1.000000,0.026486,0.999362,9.5,0.001000
1700,0.016934,1.000000,0.028843,1.000000,10.1,0.001000
1800,0.014632,1.000000,0.025038,1.000000,10.7,0.001000
1900,0.008730,1.000000,0.013955,1.000000,11.3,0.001000
2000,0.018585,1.000000,0.025794,1.000000,11.9,0.001000
2100,0.017135,1.000000,0.024753,1.000000,12.6,0.001000
2200,0.011397,1.000000,0.015347,1.000000,13.2,0.001000
2300,0.015366,1.000000,0.021197,1.000000,13.8,0.001000
2400,0.014410,1.000000,0.018654,1.000000,14.3,0.001000
2500,0.112040,0.999150,0.139480,0.997024,15.0,0.001000
2600,0.017156,1.000000,0.022156,1.000000,15.5,0.001000
2700,0.056009,1.000000,0.070359,0.998512,16.1,0.001000
2800,0.018572,1.000000,0.022789,1.000000,16.7,0.001000
2900,0.011957,1.000000,0.013923,1.000000,17.3,0.001000
3000,0.017937,1.000000,0.022449,0.999787,17.9,0.001000
3100,0.017521,1.000000,0.020798,1.000000,18.5,0.001000
3200,0.016635,1.000000,0.019625,1.000000,19.1,0.001000
3300,0.014560,1.000000,0.016557,1.000000,19.7,0.001000
3400,0.021693,1.000000,0.025468,1.000000,20.3,0.001000
3500,0.019556,1.000000,0.022424,1.000000,21.0,0.001000
3600,0.299739,0.982781,0.339844,0.978959,21.6,0.001000
3700,0.020731,1.000000,0.023532,1.000000,22.2,0.001000
3800,0.102152,0.999575,0.120159,0.998725,22.8,0.001000
3900,0.019742,1.000000,0.022447,1.000000,23.4,0.001000
4000,0.012646,1.000000,0.013977,1.000000,23.9,0.001000
4100,0.018438,1.000000,0.021530,1.000000,24.5,0.001000
4200,0.017635,1.000000,0.019996,1.000000,25.2,0.001000
4300,0.020672,1.000000,0.024017,1.000000,25.7,0.001000
4400,0.018494,1.000000,0.020724,1.000000,26.3,0.001000
4500,0.042020,1.000000,0.050552,1.000000,26.9,0.001000
4600,0.018694,1.000000,0.020891,1.000000,27.6,0.001000
4700,0.112313,0.998937,0.133773,0.998512,28.2,0.001000
4800,0.020186,1.000000,0.022943,1.000000,28.7,0.001000
4900,0.014272,1.000000,0.015735,1.000000,29.3,0.001000
5000,0.017669,1.000000,0.020873,1.000000,29.9,0.001000
5100,0.018106,1.000000,0.020517,1.000000,30.5,0.001000
5200,0.023142,1.000000,0.028161,1.000000,31.1,0.001000
5300,0.020581,1.000000,0.023363,1.000000,31.6,0.001000
5400,0.104450,0.999787,0.131130,0.997662,32.2,0.001000
5500,0.019165,1.000000,0.021978,1.000000,32.8,0.001000
5600,0.014190,1.000000,0.015982,1.000000,33.5,0.001000
5700,0.019296,1.000000,0.023064,1.000000,34.1,0.001000
5800,0.018125,1.000000,0.020501,1.000000,34.7,0.001000
5900,0.028357,1.000000,0.035044,0.999787,35.3,0.001000
6000,0.021006,1.000000,0.023834,1.000000,35.9,0.001000
6100,3.481117,0.191964,3.551921,0.191711,36.5,0.001000
6200,0.019630,1.000000,0.022702,1.000000,37.1,0.001000
6300,0.016179,1.000000,0.018081,1.000000,37.7,0.001000
6400,0.020884,1.000000,0.024783,1.000000,38.3,0.001000
6500,0.018634,1.000000,0.021201,1.000000,38.9,0.001000
6600,0.017037,1.000000,0.020426,1.000000,39.5,0.001000
6700,0.015053,1.000000,0.016876,1.000000,40.1,0.001000
6800,0.022423,1.000000,0.027557,0.999787,40.8,0.001000
6900,0.018839,1.000000,0.021104,1.000000,41.4,0.001000
7000,0.026878,1.000000,0.031084,1.000000,42.2,0.001000
7100,0.018697,1.000000,0.020641,1.000000,42.9,0.001000
7200,0.046742,1.000000,0.055138,1.000000,43.7,0.001000
7300,0.020645,1.000000,0.023217,1.000000,44.5,0.001000
7400,1.585344,0.592900,1.653416,0.580871,45.4,0.001000
7500,0.018448,1.000000,0.020763,1.000000,46.2,0.001000
7600,0.014423,1.000000,0.015598,1.000000,47.0,0.001000
7700,0.023818,1.000000,0.027017,1.000000,47.7,0.001000
7800,0.018910,1.000000,0.020786,1.000000,48.5,0.001000
7900,0.022773,1.000000,0.026440,0.999787,49.2,0.001000
8000,0.019092,1.000000,0.021361,1.000000,50.0,0.001000
8100,0.067667,1.000000,0.079255,1.000000,50.7,0.001000
8200,0.017462,1.000000,0.019840,1.000000,51.5,0.001000
8300,0.192351,0.995111,0.226594,0.989373,52.2,0.001000
8400,0.020721,1.000000,0.023950,1.000000,53.0,0.001000
8500,0.015044,1.000000,0.016674,1.000000,53.8,0.001000
8600,0.017911,1.000000,0.020977,1.000000,54.5,0.001000
8700,0.017204,1.000000,0.019020,1.000000,55.3,0.001000
8800,0.039535,1.000000,0.046836,1.000000,56.0,0.001000
8900,0.021450,1.000000,0.024073,1.000000,56.8,0.001000
9000,0.014143,1.000000,0.015512,1.000000,57.6,0.001000
9100,0.020220,1.000000,0.023275,1.000000,58.3,0.001000
9200,0.018238,1.000000,0.020129,1.000000,59.2,0.001000
9300,0.020139,1.000000,0.023782,1.000000,59.9,0.001000
9400,0.018150,1.000000,0.020092,1.000000,60.7,0.001000
9500,0.034381,1.000000,0.041260,1.000000,61.4,0.001000
9600,0.023059,1.000000,0.025878,1.000000,62.1,0.001000
9700,0.031149,1.000000,0.033548,1.000000,62.9,0.001000
9800,0.018926,1.000000,0.022103,1.000000,63.6,0.001000
9900,0.016093,1.000000,0.017971,1.000000,64.4,0.001000
10000,0.023469,1.000000,0.027823,1.000000,65.1,0.001000
10100,0.021047,1.000000,0.023459,1.000000,65.9,0.001000
10200,0.048890,1.000000,0.061955,0.999787,66.6,0.001000
10300,0.020488,1.000000,0.023328,1.000000,67.4,0.001000
10400,0.189083,0.992772,0.208476,0.992349,68.1,0.001000
10500,0.018491,1.000000,0.021507,1.000000,68.8,0.001000
10600,0.015537,1.000000,0.017273,1.000000,69.5,0.001000
10700,0.019110,1.000000,0.022316,1.000000,70.2,0.001000
10800,0.016888,1.000000,0.018693,1.000000,71.0,0.001000
10900,0.016666,1.000000,0.019026,1.000000,71.8,0.001000
11000,0.014594,1.000000,0.015978,1.000000,72.5,0.001000
11100,0.030603,1.000000,0.037147,1.000000,73.3,0.001000
11200,0.019190,1.000000,0.021453,1.000000,74.0,0.001000
11300,0.022511,1.000000,0.025226,1.000000,74.7,0.001000
11400,0.020220,1.000000,0.023155,1.000000,75.4,0.001000
11500,0.018547,1.000000,0.020550,1.000000,76.2,0.001000
11600,0.019949,1.000000,0.023046,1.000000,76.9,0.001000
11700,0.020116,1.000000,0.021966,1.000000,77.7,0.001000
11800,0.118763,0.998299,0.148622,0.993836,78.4,0.001000
11900,0.019412,1.000000,0.022068,1.000000,79.1,0.001000
12000,0.014414,1.000000,0.015890,1.000000,79.9,0.001000
12100,0.017571,1.000000,0.020823,1.000000,80.7,0.001000
12200,0.018217,1.000000,0.020158,1.000000,81.5,0.001000
12300,0.021377,1.000000,0.024941,1.000000,82.2,0.001000
12400,0.019338,1.000000,0.021697,1.000000,82.9,0.001000
12500,0.147057,0.994898,0.176298,0.992986,83.6,0.001000
12600,0.016702,1.000000,0.018820,1.000000,84.4,0.001000
12700,0.013603,1.000000,0.014870,1.000000,85.1,0.001000
12800,0.018500,1.000000,0.021299,1.000000,85.9,0.001000
12900,0.019102,1.000000,0.021266,1.000000,86.7,0.001000
13000,0.065035,0.999787,0.081058,0.997875,87.4,0.001000
13100,0.020233,1.000000,0.022489,1.000000,88.2,0.001000
13200,3.369176,0.204082,3.351556,0.202976,89.0,0.001000
13300,0.019962,1.000000,0.022405,1.000000,89.8,0.001000
13400,0.016653,1.000000,0.018005,1.000000,90.5,0.001000
13500,0.019051,1.000000,0.021879,1.000000,91.3,0.001000
13600,0.017658,1.000000,0.019274,1.000000,92.1,0.001000
13700,0.025322,1.000000,0.029583,1.000000,92.8,0.001000
13800,0.018376,1.000000,0.020314,1.000000,93.6,0.001000
13900,0.037097,1.000000,0.044540,1.000000,94.2,0.001000
14000,0.020547,1.000000,0.023056,1.000000,94.9,0.001000
14100,0.013360,1.000000,0.014753,1.000000,95.6,0.001000
14200,0.020207,1.000000,0.023337,1.000000,96.3,0.001000
14300,0.017681,1.000000,0.019465,1.000000,97.0,0.001000
14400,0.021863,1.000000,0.026123,1.000000,97.7,0.001000
14500,0.017442,1.000000,0.019497,1.000000,98.3,0.001000
14600,0.353003,0.971939,0.422118,0.960042,99.0,0.001000
14700,0.018815,1.000000,0.021647,1.000000,99.6,0.001000
14800,0.016634,1.000000,0.018369,1.000000,100.2,0.001000
14900,0.021413,1.000000,0.024489,1.000000,101.0,0.001000
15000,0.019627,1.000000,0.021577,1.000000,101.6,0.001000
15100,0.036438,1.000000,0.045527,1.000000,102.3,0.001000
15200,0.019285,1.000000,0.021884,1.000000,102.9,0.001000
15300,2.812952,0.311437,2.815265,0.309033,103.5,0.001000
15400,0.017415,1.000000,0.019823,1.000000,104.2,0.001000
15500,0.015624,1.000000,0.017286,1.000000,104.8,0.001000
15600,0.021588,1.000000,0.025327,1.000000,105.5,0.001000
15700,0.020274,1.000000,0.022453,1.000000,106.2,0.001000
15800,0.036649,1.000000,0.044081,0.999787,106.8,0.001000
15900,0.018625,1.000000,0.020612,1.000000,107.4,0.001000
16000,0.696278,0.876063,0.801117,0.837194,108.0,0.001000
16100,0.019067,1.000000,0.021622,1.000000,108.7,0.001000
16200,0.016994,1.000000,0.018663,1.000000,109.2,0.001000
16300,0.020307,1.000000,0.024023,1.000000,109.9,0.001000
16400,0.018739,1.000000,0.020957,1.000000,110.5,0.001000
16500,0.323921,0.984056,0.375193,0.974070,111.1,0.001000
16600,0.019651,1.000000,0.022334,1.000000,111.8,0.001000
16700,0.016364,1.000000,0.017877,1.000000,112.4,0.001000
16800,0.020589,1.000000,0.023618,1.000000,113.1,0.001000
16900,0.018909,1.000000,0.020929,1.000000,113.8,0.001000
17000,0.118504,0.999150,0.147041,0.997450,114.4,0.001000
17100,0.021056,1.000000,0.023433,1.000000,115.0,0.001000
17200,0.016206,1.000000,0.017809,1.000000,115.6,0.001000
17300,0.022947,1.000000,0.027432,1.000000,116.2,0.001000
17400,0.019695,1.000000,0.021557,1.000000,116.8,0.001000
17500,0.011706,1.000000,0.012613,1.000000,117.4,0.001000
17600,0.016462,1.000000,0.018693,1.000000,118.0,0.001000
17700,0.017345,1.000000,0.019052,1.000000,118.6,0.001000
17800,0.021799,1.000000,0.025139,1.000000,119.2,0.001000
17900,0.019799,1.000000,0.022384,1.000000,119.8,0.001000
18000,0.022957,1.000000,0.027375,1.000000,120.4,0.001000
18100,0.019788,1.000000,0.022163,1.000000,121.1,0.001000
18200,0.157240,0.993835,0.188058,0.989160,121.7,0.001000
18300,0.018681,1.000000,0.021126,1.000000,122.3,0.001000
18400,0.013939,1.000000,0.015361,1.000000,122.9,0.001000
18500,0.019684,1.000000,0.022848,1.000000,123.5,0.001000
18600,0.019942,1.000000,0.021982,1.000000,124.1,0.001000
18700,0.030937,1.000000,0.037012,1.000000,124.7,0.001000
18800,0.021581,1.000000,0.023964,1.000000,125.3,0.001000
18900,0.013782,1.000000,0.014830,1.000000,126.0,0.001000
19000,0.022761,1.000000,0.026512,1.000000,126.6,0.001000
19100,0.018508,1.000000,0.020500,1.000000,127.2,0.001000
19200,0.021955,1.000000,0.026018,1.000000,127.8,0.001000
19300,0.020118,1.000000,0.022270,1.000000,128.5,0.001000
19400,0.100932,0.997662,0.123720,0.997450,129.1,0.001000
19500,0.021907,1.000000,0.024611,1.000000,129.7,0.001000
19600,0.016866,1.000000,0.018418,1.000000,130.4,0.001000
19700,0.019167,1.000000,0.021928,1.000000,131.0,0.001000
19800,0.016488,1.000000,0.018030,1.000000,131.7,0.001000
19900,0.018768,1.000000,0.021889,1.000000,132.4,0.001000
20000,0.017560,1.000000,0.019541,1.000000,133.1,0.001000
20100,4.127253,0.098427,4.264006,0.083741,133.7,0.001000
20200,0.021021,1.000000,0.024976,1.000000,134.4,0.001000
20300,0.018527,1.000000,0.020711,1.000000,135.0,0.001000
20400,0.019251,1.000000,0.022748,1.000000,135.7,0.001000
20500,0.018298,1.000000,0.020059,1.000000,136.3,0.001000
20600,0.031941,1.000000,0.038395,0.999787,136.9,0.001000
20700,0.019070,1.000000,0.020875,1.000000,137.5,0.001000
20800,0.012306,1.000000,0.013257,1.000000,138.2,0.001000
20900,0.016421,1.000000,0.019231,1.000000,138.8,0.001000
21000,0.016273,1.000000,0.018113,1.000000,139.4,0.001000
21100,0.029273,1.000000,0.035209,1.000000,140.0,0.001000
21200,0.020989,1.000000,0.023451,1.000000,140.6,0.001000
21300,0.060814,1.000000,0.073677,1.000000,141.3,0.001000
21400,0.017224,1.000000,0.019274,1.000000,141.9,0.001000
21500,0.011132,1.000000,0.012212,1.000000,142.5,0.001000
21600,0.021742,1.000000,0.026362,1.000000,143.1,0.001000
21700,0.019549,1.000000,0.021912,1.000000,143.7,0.001000
21800,0.019022,1.000000,0.022337,1.000000,144.4,0.001000
21900,0.017710,1.000000,0.019837,1.000000,145.0,0.001000
22000,0.032499,1.000000,0.041962,0.999787,145.6,0.001000
22100,0.020135,1.000000,0.022816,1.000000,146.2,0.001000
22200,0.013248,1.000000,0.014728,1.000000,146.8,0.001000
22300,0.020052,1.000000,0.023360,1.000000,147.4,0.001000
22400,0.018489,1.000000,0.020381,1.000000,148.0,0.001000
22500,0.017950,1.000000,0.020873,1.000000,148.7,0.001000
22600,0.015934,1.000000,0.017937,1.000000,149.3,0.001000
22700,0.021553,1.000000,0.026434,0.999787,149.9,0.001000
22800,0.016199,1.000000,0.018798,1.000000,150.5,0.001000
22900,0.298499,0.974702,0.335831,0.967906,151.1,0.001000
23000,0.017977,1.000000,0.020551,1.000000,151.8,0.001000
23100,0.015683,1.000000,0.017449,1.000000,152.4,0.001000
23200,0.020655,1.000000,0.025184,1.000000,153.1,0.001000
23300,0.020264,1.000000,0.022669,1.000000,153.7,0.001000
23400,0.147376,0.996386,0.180467,0.992349,154.3,0.001000
23500,0.020303,1.000000,0.023253,1.000000,155.1,0.001000
23600,0.015567,1.000000,0.017298,1.000000,155.8,0.001000
23700,0.018318,1.000000,0.021513,1.000000,156.6,0.001000
23800,0.018106,1.000000,0.020385,1.000000,157.2,0.001000
23900,0.072130,1.000000,0.092129,0.998725,157.9,0.001000
24000,0.017928,1.000000,0.020553,1.000000,158.5,0.001000
24100,0.013433,1.000000,0.014956,1.000000,159.1,0.001000
24200,0.016916,1.000000,0.019519,1.000000,159.7,0.001000
24300,0.016318,1.000000,0.018065,1.000000,160.3,0.001000
