step,train_loss,train_acc,test_loss,test_acc,elapsed_sec,lr
0,5.229109,0.007440,5.256574,0.009139,0.0,0.000020
100,4.505827,0.028699,4.791239,0.003826,0.6,0.001000
200,2.942424,0.393495,5.293416,0.056961,1.2,0.001000
300,0.661612,0.907313,4.216524,0.383847,1.7,0.001000
400,0.057786,0.998087,3.994982,0.491817,2.3,0.001000
500,0.011720,0.999787,4.151026,0.492667,2.9,0.001000
600,0.034618,0.996599,4.540116,0.486929,3.4,0.001000
700,0.014511,0.998299,4.798014,0.490967,4.0,0.001000
800,0.015046,0.998299,5.038163,0.489692,4.6,0.001000
900,0.018045,0.995748,5.200336,0.489479,5.2,0.001000
1000,0.009857,0.998087,5.324255,0.491605,5.8,0.001000
1100,0.026590,0.993410,5.570309,0.487991,6.3,0.001000
1200,0.019766,0.996386,5.694258,0.489479,6.9,0.001000
1300,0.008247,0.998299,5.814263,0.492030,7.5,0.001000
1400,0.009954,0.997024,5.887305,0.491180,8.0,0.001000
1500,0.005651,0.999575,5.858408,0.495643,8.7,0.001000
1600,0.009467,0.997449,5.906363,0.492455,9.4,0.001000
1700,0.010225,0.997236,6.021599,0.493092,10.0,0.001000
1800,0.019971,0.997236,6.043432,0.490542,10.7,0.001000
1900,0.008471,0.998087,6.099338,0.491392,11.3,0.001000
2000,0.005915,0.999150,6.062727,0.494155,12.1,0.001000
2100,0.008670,0.997874,6.137119,0.494155,12.8,0.001000
2200,0.006120,0.998724,6.101593,0.494368,13.5,0.001000
2300,0.003395,0.998724,6.110003,0.494368,14.1,0.001000
2400,0.011512,0.998299,6.079606,0.497343,14.7,0.001000
2500,0.006433,0.998724,6.151155,0.494155,15.3,0.001000
2600,0.007399,0.998512,6.105951,0.493943,16.0,0.001000
2700,0.005217,0.999362,6.093585,0.496068,16.8,0.001000
2800,0.007887,0.998087,6.145927,0.493305,17.5,0.001000
2900,0.004549,0.998724,6.180941,0.495643,18.0,0.001000
3000,0.003232,0.999150,6.180690,0.495643,18.6,0.001000
3100,0.018791,0.996386,6.279724,0.494793,19.2,0.001000
3200,0.023699,0.995961,6.134860,0.493518,19.8,0.001000
3300,0.004659,0.998512,6.146255,0.497556,20.3,0.001000
3400,0.006257,0.998299,6.130803,0.498406,20.9,0.001000
3500,0.002734,0.999575,6.086587,0.496493,21.5,0.001000
3600,0.010031,0.998087,6.030712,0.498193,22.1,0.001000
3700,0.003654,0.999362,5.994216,0.499469,22.7,0.001000
3800,0.009820,0.997024,6.022495,0.496493,23.3,0.001000
3900,0.001498,0.999575,5.962882,0.498193,23.8,0.001000
4000,0.006067,0.998512,5.984455,0.498831,24.4,0.001000
4100,0.004283,0.999150,5.878582,0.502019,25.0,0.001000
4200,0.002411,0.999362,5.800529,0.499894,25.6,0.001000
4300,0.006630,0.998512,5.819571,0.502869,26.2,0.001000
4400,0.001536,0.999787,5.687411,0.502869,26.8,0.001000
4500,0.007633,0.998299,5.599154,0.500956,27.5,0.001000
4600,0.003782,0.998937,5.354604,0.509458,28.1,0.001000
4700,0.010610,0.998724,5.356984,0.507120,28.8,0.001000
4800,0.000085,1.000000,5.198068,0.507758,29.5,0.001000
4900,0.000032,1.000000,5.154139,0.507758,30.2,0.001000
5000,0.000015,1.000000,5.122600,0.508820,31.0,0.001000
5100,0.000007,1.000000,5.101418,0.509458,31.7,0.001000
5200,0.000003,1.000000,5.086893,0.510521,32.5,0.001000
5300,0.000001,1.000000,5.077927,0.511583,33.1,0.001000
5400,0.000001,1.000000,5.086561,0.512434,33.7,0.001000
5500,0.000000,1.000000,5.103113,0.514559,34.4,0.001000
5600,0.000000,1.000000,5.136380,0.516047,35.1,0.001000
5700,0.000000,1.000000,5.182913,0.515834,35.8,0.001000
5800,0.000000,1.000000,5.236362,0.515409,36.5,0.001000
5900,0.000000,1.000000,5.213112,0.512221,37.5,0.001000
6000,0.000000,1.000000,5.075281,0.511583,38.4,0.001000
6100,0.000000,1.000000,4.878037,0.514134,39.2,0.001000
6200,0.000000,1.000000,4.704408,0.515409,40.0,0.001000
6300,0.000000,1.000000,4.534824,0.514772,40.8,0.001000
6400,0.000000,1.000000,4.395758,0.514984,41.5,0.001000
6500,0.000000,1.000000,4.274942,0.515197,42.1,0.001000
6600,0.000000,1.000000,4.173886,0.514984,43.2,0.001000
6700,0.000000,1.000000,4.092305,0.515622,44.0,0.001000
6800,0.000000,1.000000,4.011257,0.515622,44.7,0.001000
6900,0.000000,1.000000,3.936351,0.515197,45.6,0.001000
7000,0.000000,1.000000,3.891243,0.514772,46.4,0.001000
7100,0.000000,1.000000,3.825113,0.514559,47.1,0.001000
7200,0.000000,1.000000,3.790127,0.514559,47.7,0.001000
7300,0.000000,1.000000,3.740470,0.515197,48.3,0.001000
7400,0.000000,1.000000,3.704201,0.512646,48.9,0.001000
7500,0.000000,1.000000,3.682150,0.512646,49.5,0.001000
7600,0.000000,1.000000,3.649626,0.512434,50.1,0.001000
7700,0.000000,1.000000,3.629159,0.513496,50.7,0.001000
7800,0.000000,1.000000,3.605947,0.510733,51.3,0.001000
7900,0.000000,1.000000,3.581805,0.511158,51.9,0.001000
8000,0.000000,1.000000,3.576025,0.510946,52.5,0.001000
8100,0.000000,1.000000,3.552403,0.509883,53.2,0.001000
8200,0.000000,1.000000,3.555958,0.510946,53.7,0.001000
8300,0.000000,1.000000,3.531058,0.510308,54.4,0.001000
8400,0.000000,1.000000,3.525675,0.509033,55.0,0.001000
8500,0.000000,1.000000,3.514753,0.509883,55.8,0.001000
8600,0.000000,1.000000,3.498178,0.509245,56.5,0.001000
8700,0.000000,1.000000,3.487209,0.509458,57.1,0.001000
8800,0.000000,1.000000,3.494169,0.509671,57.9,0.001000
8900,0.000000,1.000000,3.480610,0.507545,58.6,0.001000
9000,0.000000,1.000000,3.471648,0.507545,59.2,0.001000
9100,0.000000,1.000000,3.471689,0.509033,59.9,0.001000
9200,0.000000,1.000000,3.464818,0.509033,60.6,0.001000
9300,0.000000,1.000000,3.476289,0.507545,61.3,0.001000
9400,0.000000,1.000000,3.460732,0.508395,61.9,0.001000
9500,0.000000,1.000000,3.464748,0.509033,62.6,0.001000
9600,0.000000,1.000000,3.456825,0.507120,63.2,0.001000
