step,train_loss,train_acc,test_loss,test_acc,elapsed_sec,lr
0,4.908718,0.015597,4.938779,0.013363,0.0,0.000020
100,3.775458,0.132353,4.952800,0.008909,0.5,0.001000
200,0.439817,0.953654,4.131827,0.439644,1.0,0.001000
300,0.014360,1.000000,3.915302,0.502004,1.5,0.001000
400,0.004002,1.000000,3.973792,0.502004,2.0,0.001000
500,0.001302,1.000000,4.039149,0.502004,2.5,0.001000
600,0.000441,1.000000,4.124521,0.502004,3.0,0.001000
700,0.000150,1.000000,4.234024,0.502004,3.5,0.001000
800,0.000053,1.000000,4.331811,0.502004,4.0,0.001000
900,0.000019,1.000000,4.453993,0.502895,4.5,0.001000
1000,0.000007,1.000000,4.593941,0.502004,5.0,0.001000
1100,0.000002,1.000000,4.733504,0.502004,5.5,0.001000
1200,0.000001,1.000000,4.871284,0.502450,6.0,0.001000
1300,0.000000,1.000000,5.000309,0.502450,6.4,0.001000
1400,0.000000,1.000000,5.096688,0.502450,6.9,0.001000
1500,0.000000,1.000000,5.096204,0.502004,7.4,0.001000
1600,0.000000,1.000000,5.119527,0.502004,7.9,0.001000
1700,0.000000,1.000000,5.062101,0.502004,8.4,0.001000
1800,0.000000,1.000000,5.038404,0.502004,8.9,0.001000
1900,0.000000,1.000000,5.031417,0.502004,9.4,0.001000
2000,0.000000,1.000000,5.011228,0.502004,9.9,0.001000
2100,0.000000,1.000000,5.020209,0.502004,10.4,0.001000
2200,0.000000,1.000000,4.979503,0.502450,10.9,0.001000
2300,0.000000,1.000000,4.978643,0.502450,11.4,0.001000
2400,0.000000,1.000000,4.990082,0.502004,11.9,0.001000
2500,0.000000,1.000000,4.968733,0.502450,12.4,0.001000
2600,0.000000,1.000000,4.973817,0.503341,12.9,0.001000
2700,0.000000,1.000000,4.972364,0.503786,13.4,0.001000
2800,0.005100,0.999554,6.117600,0.500668,13.9,0.001000
2900,0.000099,1.000000,6.081759,0.502004,14.4,0.001000
3000,0.000044,1.000000,6.037704,0.502004,14.9,0.001000
3100,0.000021,1.000000,6.002045,0.502004,15.4,0.001000
3200,0.000009,1.000000,5.971705,0.502004,15.9,0.001000
3300,0.000004,1.000000,5.928960,0.502004,16.3,0.001000
3400,0.000002,1.000000,5.882790,0.502004,16.8,0.001000
3500,0.000001,1.000000,5.815172,0.502004,17.3,0.001000
3600,0.000000,1.000000,5.744548,0.502004,17.8,0.001000
3700,0.000000,1.000000,5.618306,0.502004,18.3,0.001000
3800,0.000000,1.000000,5.402540,0.503341,18.9,0.001000
3900,0.000000,1.000000,5.178611,0.503786,19.4,0.001000
4000,0.000000,1.000000,5.024508,0.503786,19.9,0.001000
4100,0.000000,1.000000,4.954196,0.503786,20.4,0.001000
4200,0.000000,1.000000,4.988835,0.504232,20.8,0.001000
4300,0.006991,0.999109,5.822928,0.502004,21.3,0.001000
4400,0.000133,1.000000,5.845500,0.502004,21.8,0.001000
4500,0.000058,1.000000,5.795219,0.502004,22.3,0.001000
4600,0.000026,1.000000,5.757717,0.502004,22.8,0.001000
4700,0.000012,1.000000,5.727949,0.502004,23.3,0.001000
4800,0.000005,1.000000,5.697317,0.502004,23.8,0.001000
4900,0.000002,1.000000,5.654031,0.502004,24.3,0.001000
5000,0.000001,1.000000,5.596644,0.502004,24.7,0.001000
5100,0.000000,1.000000,5.520963,0.502004,25.2,0.001000
5200,0.000000,1.000000,5.410616,0.503341,25.7,0.001000
5300,0.000000,1.000000,5.234398,0.503341,26.2,0.001000
5400,0.000000,1.000000,5.044752,0.503341,26.6,0.001000
5500,0.000000,1.000000,4.917626,0.503341,27.1,0.001000
5600,0.000000,1.000000,4.919780,0.502895,27.6,0.001000
5700,0.000000,1.000000,4.901279,0.503786,28.1,0.001000
5800,0.000687,1.000000,5.838903,0.502895,28.6,0.001000
5900,0.000155,1.000000,5.809341,0.502004,29.1,0.001000
6000,0.000070,1.000000,5.780635,0.502004,29.6,0.001000
6100,0.000030,1.000000,5.748337,0.502004,30.1,0.001000
6200,0.000013,1.000000,5.711509,0.502004,30.6,0.001000
6300,0.000005,1.000000,5.655103,0.502004,31.1,0.001000
6400,0.000002,1.000000,5.583606,0.502004,31.6,0.001000
6500,0.000001,1.000000,5.489394,0.502450,32.1,0.001000
6600,0.000000,1.000000,5.392962,0.502895,32.5,0.001000
6700,0.000000,1.000000,5.263699,0.503341,33.1,0.001000
6800,0.000000,1.000000,5.106005,0.502895,33.5,0.001000
6900,0.000000,1.000000,4.966532,0.502895,34.0,0.001000
7000,0.000000,1.000000,4.890722,0.503786,34.6,0.001000
7100,0.001422,1.000000,5.541079,0.502004,35.1,0.001000
