step,train_loss,train_acc,test_loss,test_acc,elapsed_sec,lr
0,5.204428,0.010352,5.199321,0.010484,1.3,0.000020
100,4.597371,0.010608,4.598059,0.010296,3.5,0.001000
200,4.591284,0.010208,4.592414,0.010136,5.2,0.001000
300,4.592324,0.010428,4.593456,0.010384,7.0,0.001000
400,4.588569,0.010216,4.589943,0.010440,8.6,0.001000
500,4.583982,0.010392,4.586013,0.010256,10.4,0.001000
600,4.583496,0.010888,4.585929,0.010564,12.3,0.001000
700,4.585023,0.010828,4.588931,0.009944,14.5,0.001000
800,4.587121,0.010628,4.591076,0.010044,16.2,0.001000
900,4.584898,0.010592,4.591057,0.010152,17.9,0.001000
1000,4.580389,0.011256,4.586174,0.009948,19.6,0.001000
1100,4.580542,0.011484,4.587309,0.009772,21.3,0.001000
1200,4.577039,0.011644,4.584056,0.010108,23.0,0.001000
1300,4.578663,0.012344,4.587049,0.009924,24.7,0.001000
1400,4.578353,0.011720,4.588354,0.009800,26.5,0.001000
1500,4.576829,0.011584,4.587243,0.009756,28.2,0.001000
1600,4.575713,0.012312,4.588652,0.009932,29.8,0.001000
1700,4.575362,0.012608,4.588757,0.009956,31.5,0.001000
1800,4.573830,0.012812,4.588540,0.010688,33.2,0.001000
1900,4.563974,0.014040,4.585401,0.010952,34.9,0.001000
2000,4.507614,0.015948,4.530078,0.012464,36.6,0.001000
2100,3.607305,0.058420,3.629905,0.051984,38.3,0.001000
2200,2.974820,0.119816,2.991264,0.110152,40.1,0.001000
2300,2.702449,0.156440,2.715890,0.145908,41.8,0.001000
2400,2.442386,0.198872,2.454498,0.188896,43.7,0.001000
2500,2.107909,0.270008,2.120921,0.257544,45.8,0.001000
2600,1.934584,0.292512,1.948018,0.278624,47.5,0.001000
2700,1.726810,0.351076,1.740028,0.334364,49.2,0.001000
2800,1.568232,0.398212,1.582146,0.380688,51.0,0.001000
2900,1.412500,0.442628,1.428346,0.424232,52.8,0.001000
3000,1.299877,0.480088,1.314491,0.462960,54.9,0.001000
3100,1.257538,0.476040,1.272135,0.459800,56.6,0.001000
3200,1.210500,0.480964,1.225365,0.468472,58.3,0.001000
3300,1.114723,0.545696,1.128074,0.532328,60.0,0.001000
3400,1.141495,0.488496,1.156618,0.473892,61.8,0.001000
3500,1.048708,0.528744,1.060712,0.517508,63.5,0.001000
3600,1.005010,0.544812,1.018579,0.531068,65.2,0.001000
3700,1.008260,0.556380,1.020300,0.545444,66.9,0.001000
3800,0.850976,0.676044,0.860468,0.667072,68.6,0.001000
3900,0.855976,0.646984,0.866377,0.638584,70.3,0.001000
4000,0.792656,0.702216,0.803357,0.692764,72.0,0.001000
4100,0.943792,0.598136,0.954399,0.590488,73.8,0.001000
4200,0.855167,0.615684,0.863813,0.609504,75.5,0.001000
4300,0.711272,0.710864,0.721123,0.701620,77.2,0.001000
4400,0.769023,0.696308,0.777509,0.690340,78.9,0.001000
4500,0.717751,0.699508,0.724884,0.694196,80.6,0.001000
4600,0.730891,0.697764,0.739612,0.692108,82.3,0.001000
4700,0.647060,0.738752,0.653859,0.732464,84.0,0.001000
4800,0.634501,0.758532,0.643516,0.753076,85.8,0.001000
4900,0.678679,0.708820,0.682133,0.707080,87.5,0.001000
5000,0.547429,0.813724,0.552475,0.810352,89.2,0.001000
5100,0.620598,0.748392,0.626850,0.743696,90.9,0.001000
5200,0.555504,0.787196,0.560492,0.783792,92.6,0.001000
5300,0.526754,0.808168,0.532776,0.803048,94.3,0.001000
5400,0.546417,0.783048,0.552074,0.778264,96.0,0.001000
5500,0.626703,0.718008,0.634268,0.712100,97.7,0.001000
5600,0.541811,0.793280,0.549375,0.788632,99.4,0.001000
5700,0.486580,0.826124,0.492110,0.822720,101.1,0.001000
5800,0.621610,0.740488,0.623466,0.738944,102.9,0.001000
5900,0.520716,0.779708,0.528199,0.773948,104.6,0.001000
6000,0.541246,0.801376,0.546476,0.799400,106.3,0.001000
6100,0.456206,0.823896,0.460700,0.821132,108.0,0.001000
6200,0.419604,0.845976,0.425207,0.842508,109.8,0.001000
6300,0.504377,0.793524,0.509940,0.790684,111.5,0.001000
6400,0.617015,0.726168,0.625209,0.723124,113.3,0.001000
6500,0.528998,0.774120,0.533733,0.772532,115.0,0.001000
6600,0.535597,0.764860,0.541055,0.762320,116.7,0.001000
6700,0.492660,0.795052,0.496321,0.793860,118.4,0.001000
6800,0.606745,0.744960,0.612027,0.741236,120.1,0.001000
6900,0.391806,0.849728,0.395889,0.847912,121.8,0.001000
7000,0.502257,0.780356,0.503655,0.779772,123.5,0.001000
7100,0.459646,0.813228,0.463840,0.811476,125.3,0.001000
7200,0.316772,0.896664,0.321117,0.894660,127.0,0.001000
7300,0.296861,0.903284,0.301082,0.901492,128.7,0.001000
7400,0.399980,0.838136,0.404135,0.836904,130.4,0.001000
7500,0.389637,0.862440,0.392745,0.862036,132.1,0.001000
7600,0.377613,0.851272,0.379791,0.850468,133.9,0.001000
7700,0.561596,0.764064,0.569037,0.761048,135.6,0.001000
7800,0.202838,0.957016,0.203625,0.957168,137.3,0.001000
7900,0.350365,0.868164,0.353990,0.866268,139.0,0.001000
8000,0.489070,0.796712,0.496739,0.793716,140.8,0.001000
8100,0.400451,0.851788,0.406296,0.849476,142.5,0.001000
8200,0.351671,0.866468,0.352931,0.866028,144.1,0.001000
8300,0.320171,0.876896,0.323447,0.876008,145.9,0.001000
8400,0.237115,0.930112,0.239487,0.928840,147.6,0.001000
8500,0.462184,0.800456,0.468892,0.796756,149.3,0.001000
8600,0.238347,0.921868,0.240095,0.920608,151.0,0.001000
8700,0.355341,0.862724,0.356819,0.862576,152.7,0.001000
8800,0.357420,0.861756,0.361830,0.860956,154.4,0.001000
8900,0.232788,0.920288,0.235533,0.918836,156.1,0.001000
9000,0.353944,0.858744,0.354424,0.859024,157.8,0.001000
9100,0.336092,0.873612,0.341209,0.870388,159.5,0.001000
9200,0.254000,0.909804,0.255300,0.909412,161.2,0.001000
9300,0.260236,0.906336,0.261984,0.905252,162.9,0.001000
9400,0.198240,0.940980,0.198780,0.940824,164.6,0.001000
9500,0.202197,0.938120,0.204982,0.937376,166.3,0.001000
9600,0.297325,0.890452,0.300899,0.888588,168.0,0.001000
9700,0.317712,0.887008,0.320560,0.885428,169.7,0.001000
9800,0.339425,0.870720,0.342390,0.869800,171.4,0.001000
9900,0.353095,0.852744,0.356722,0.851168,173.1,0.001000
10000,0.282986,0.888912,0.285924,0.887404,174.8,0.001000
10100,0.294724,0.881836,0.298740,0.880044,176.5,0.001000
10200,0.260952,0.903904,0.262642,0.903544,178.3,0.001000
10300,0.322075,0.880800,0.323257,0.879944,180.1,0.001000
10400,0.216010,0.924300,0.218013,0.923204,181.8,0.001000
10500,0.335897,0.858448,0.336940,0.858572,183.5,0.001000
10600,0.213158,0.922104,0.214580,0.921176,185.2,0.001000
10700,0.307995,0.873996,0.308628,0.874060,187.0,0.001000
10800,0.174290,0.944588,0.175110,0.944484,188.9,0.001000
10900,0.284520,0.885052,0.287589,0.884392,191.0,0.001000
11000,0.313984,0.865832,0.314998,0.864744,192.7,0.001000
11100,0.274301,0.891888,0.273407,0.891780,194.7,0.001000
11200,0.292041,0.885408,0.291528,0.884772,196.4,0.001000
11300,0.296266,0.879272,0.300640,0.876872,198.2,0.001000
11400,0.276375,0.897888,0.277981,0.895768,199.9,0.001000
11500,0.192721,0.932768,0.194272,0.932192,201.6,0.001000
11600,0.334021,0.859036,0.339168,0.855412,203.2,0.001000
11700,0.172874,0.940328,0.174813,0.938780,205.0,0.001000
11800,0.237409,0.909916,0.240118,0.908552,206.7,0.001000
11900,0.286389,0.885004,0.286724,0.885648,208.4,0.001000
12000,0.360951,0.842916,0.364561,0.840380,210.6,0.001000
12100,0.393542,0.846844,0.394070,0.847084,212.4,0.001000
12200,0.176965,0.938224,0.176965,0.938448,214.1,0.001000
12300,0.191935,0.928940,0.190988,0.929652,215.8,0.001000
12400,0.290246,0.877860,0.291670,0.877664,217.6,0.001000
12500,0.164662,0.946956,0.164701,0.947476,219.4,0.001000
12600,0.185327,0.936356,0.186409,0.935900,221.2,0.001000
12700,0.204802,0.924960,0.207197,0.923636,222.9,0.001000
12800,0.270827,0.900456,0.271994,0.900420,224.7,0.001000
12900,0.227118,0.913428,0.227703,0.911816,226.4,0.001000
13000,0.246297,0.908444,0.246213,0.908744,228.2,0.001000
13100,0.404701,0.833724,0.408838,0.833124,230.0,0.001000
13200,0.158850,0.945948,0.160540,0.945228,231.7,0.001000
13300,0.438994,0.817584,0.442522,0.815060,233.5,0.001000
13400,0.237524,0.904164,0.240609,0.902780,235.2,0.001000
13500,0.098830,0.974812,0.100379,0.973884,237.0,0.001000
13600,0.307741,0.892260,0.311820,0.891280,238.7,0.001000
13700,0.304682,0.877464,0.304773,0.877268,240.5,0.001000
13800,0.306542,0.872776,0.309216,0.871388,242.2,0.001000
13900,0.213753,0.924104,0.214772,0.923452,244.0,0.001000
14000,0.620865,0.769496,0.626288,0.768168,245.8,0.001000
14100,0.147108,0.950056,0.148094,0.949912,247.5,0.001000
14200,0.139193,0.952180,0.139262,0.952032,249.3,0.001000
14300,0.162744,0.941432,0.161307,0.942004,251.0,0.001000
14400,0.323265,0.865216,0.323725,0.865032,252.7,0.001000
14500,0.429366,0.841372,0.432394,0.840612,254.5,0.001000
14600,0.237002,0.905512,0.238130,0.905816,256.3,0.001000
14700,0.223186,0.916780,0.225376,0.915908,258.1,0.001000
14800,0.194831,0.925992,0.196592,0.924680,259.8,0.001000
14900,0.130949,0.956456,0.132447,0.955240,261.6,0.001000
15000,0.267138,0.893788,0.270011,0.892032,263.7,0.001000
15100,0.349958,0.852348,0.352051,0.850744,265.5,0.001000
15200,0.305105,0.887164,0.304830,0.887912,267.2,0.001000
15300,0.173989,0.938724,0.173806,0.939232,269.0,0.001000
15400,0.156136,0.943444,0.158735,0.942368,270.7,0.001000
15500,0.205049,0.919436,0.204525,0.919572,272.4,0.001000
15600,0.180086,0.931808,0.181659,0.931140,274.2,0.001000
15700,0.242736,0.899568,0.242601,0.899132,275.9,0.001000
15800,0.252885,0.897996,0.253894,0.897232,277.6,0.001000
15900,0.267569,0.894628,0.269096,0.894432,279.4,0.001000
16000,0.057957,0.989456,0.058291,0.989320,281.1,0.001000
16100,0.168785,0.937064,0.169375,0.936532,282.9,0.001000
16200,0.236611,0.905188,0.238881,0.904092,284.7,0.001000
16300,0.202539,0.921968,0.202335,0.921780,286.4,0.001000
16400,0.144879,0.945920,0.145207,0.945548,288.2,0.001000
16500,0.273155,0.890860,0.273590,0.890404,289.9,0.001000
16600,0.413761,0.847268,0.416557,0.847076,291.7,0.001000
16700,0.111351,0.964012,0.111792,0.963396,293.5,0.001000
16800,0.205126,0.916520,0.208656,0.914688,295.9,0.001000
16900,0.195555,0.921564,0.198268,0.919680,297.7,0.001000
17000,0.177114,0.931840,0.178581,0.930932,299.4,0.001000
17100,0.144296,0.949864,0.145682,0.949044,301.1,0.001000
17200,0.266720,0.890796,0.271930,0.887872,302.9,0.001000
17300,0.224664,0.918764,0.222080,0.920272,304.7,0.001000
17400,0.252614,0.905492,0.253203,0.904644,306.5,0.001000
17500,0.163782,0.939392,0.162957,0.939152,308.2,0.001000
17600,0.183520,0.930604,0.184639,0.930528,310.1,0.001000
17700,0.082697,0.976460,0.082744,0.976920,311.9,0.001000
17800,0.204882,0.918668,0.207623,0.917580,313.6,0.001000
17900,0.080976,0.975828,0.080823,0.976096,315.4,0.001000
18000,0.172287,0.932676,0.174597,0.931640,317.2,0.001000
18100,0.268642,0.891360,0.269845,0.890648,319.0,0.001000
18200,0.133460,0.951276,0.135875,0.950484,320.8,0.001000
18300,0.113562,0.961360,0.113572,0.961828,322.5,0.001000
18400,0.162724,0.935956,0.164594,0.935464,324.3,0.001000
18500,0.144832,0.944980,0.145559,0.944952,326.1,0.001000
18600,0.081280,0.975660,0.081486,0.975688,327.9,0.001000
18700,0.341785,0.882620,0.338758,0.884196,329.6,0.001000
18800,0.117419,0.959568,0.117416,0.959500,331.3,0.001000
18900,0.227494,0.909416,0.226797,0.909540,333.1,0.001000
19000,0.251781,0.894740,0.252491,0.894980,334.9,0.001000
19100,0.238086,0.905900,0.235901,0.906896,336.7,0.001000
19200,0.126229,0.952560,0.128898,0.951704,338.5,0.001000
19300,0.270405,0.889208,0.272603,0.889008,340.2,0.001000
19400,0.119667,0.958844,0.121098,0.958060,341.9,0.001000
