step,train_loss,train_acc,test_loss,test_acc,elapsed_sec,lr
0,5.061327,0.006803,5.101009,0.005739,0.0,0.000200
100,4.577515,0.009566,4.593599,0.008077,0.8,0.010000
200,4.584437,0.012117,4.592054,0.008502,1.4,0.010000
300,4.590544,0.011905,4.593441,0.008714,2.0,0.010000
400,4.592154,0.012543,4.594037,0.008077,2.6,0.010000
500,4.592371,0.012968,4.594120,0.007651,3.2,0.010000
600,4.592087,0.012968,4.594059,0.007651,3.8,0.010000
700,4.590906,0.012543,4.593729,0.008077,4.4,0.010000
800,4.587982,0.012968,4.592962,0.007651,5.1,0.010000
900,4.584858,0.012543,4.592409,0.008077,5.7,0.010000
1000,4.583160,0.011480,4.592578,0.009139,6.4,0.010000
1100,4.582860,0.012968,4.592215,0.007651,7.3,0.010000
1200,4.583095,0.012968,4.591601,0.007651,8.0,0.010000
1300,4.582793,0.012968,4.592030,0.007651,8.5,0.010000
1400,4.582938,0.012968,4.591757,0.007651,9.1,0.010000
1500,4.583030,0.012968,4.591704,0.007651,9.8,0.010000
1600,4.582971,0.012968,4.591844,0.007651,10.4,0.010000
1700,4.582790,0.012968,4.592158,0.007651,11.0,0.010000
1800,4.582828,0.012968,4.591933,0.007651,11.6,0.010000
1900,4.582441,0.012968,4.592544,0.007651,12.3,0.010000
2000,4.582515,0.012968,4.592626,0.007651,12.9,0.010000
2100,4.582829,0.011905,4.591922,0.008714,13.5,0.010000
2200,4.582716,0.012968,4.592160,0.007651,14.1,0.010000
2300,4.582393,0.012968,4.592622,0.007651,14.7,0.010000
2400,4.582168,0.012968,4.592902,0.007651,15.3,0.010000
2500,4.582482,0.012968,4.592407,0.007651,15.9,0.010000
2600,4.582785,0.012543,4.591896,0.008077,16.5,0.010000
2700,4.582715,0.012968,4.592214,0.007651,17.1,0.010000
2800,4.582803,0.012968,4.591872,0.007651,17.7,0.010000
2900,4.582922,0.012543,4.591692,0.008077,18.2,0.010000
3000,4.582785,0.012968,4.592052,0.007651,18.8,0.010000
3100,4.582801,0.012543,4.592021,0.008077,19.4,0.010000
3200,4.582573,0.012968,4.592371,0.007651,20.1,0.010000
3300,4.582869,0.012543,4.591806,0.008077,20.6,0.010000
3400,4.582752,0.012968,4.592097,0.007651,21.2,0.010000
3500,4.582822,0.012543,4.591841,0.008077,21.8,0.010000
3600,4.582563,0.012968,4.592433,0.007651,22.4,0.010000
3700,4.582870,0.012968,4.591882,0.007651,23.0,0.010000
3800,4.582788,0.011480,4.591936,0.009139,23.6,0.010000
3900,4.582934,0.012968,4.591829,0.007651,24.2,0.010000
4000,4.583080,0.012968,4.591682,0.007651,24.8,0.010000
4100,4.582718,0.012968,4.592122,0.007651,25.4,0.010000
4200,4.582933,0.012117,4.591900,0.008502,26.0,0.010000
4300,4.582875,0.012968,4.591774,0.007651,26.6,0.010000
4400,4.582704,0.012968,4.592026,0.007651,27.2,0.010000
4500,4.583045,0.012543,4.591502,0.008077,27.7,0.010000
4600,4.582786,0.012968,4.591999,0.007651,28.3,0.010000
4700,4.582746,0.012968,4.592073,0.007651,28.9,0.010000
4800,4.582364,0.012543,4.592584,0.008077,29.6,0.010000
4900,4.582836,0.012968,4.591789,0.007651,30.2,0.010000
5000,4.582882,0.012968,4.591849,0.007651,30.8,0.010000
5100,4.582634,0.012968,4.592151,0.007651,31.4,0.010000
5200,4.583083,0.012543,4.591455,0.008077,32.0,0.010000
5300,4.583124,0.012968,4.591582,0.007651,32.6,0.010000
5400,4.583233,0.012117,4.591492,0.008502,33.3,0.010000
5500,4.582558,0.012543,4.592363,0.008077,33.9,0.010000
5600,4.582958,0.012968,4.591703,0.007651,34.5,0.010000
5700,4.583051,0.012968,4.591642,0.007651,35.1,0.010000
5800,4.582518,0.012543,4.592551,0.008077,35.7,0.010000
5900,4.582953,0.011905,4.591661,0.008714,36.3,0.010000
6000,4.582697,0.012543,4.592090,0.008077,36.9,0.010000
6100,4.582271,0.012543,4.592850,0.008077,37.5,0.010000
6200,4.582580,0.012543,4.592241,0.008077,38.1,0.010000
6300,4.582117,0.012968,4.593102,0.007651,38.7,0.010000
