step,train_loss,train_acc,test_loss,test_acc,elapsed_sec,lr
0,5.605957,0.010417,5.634437,0.009777,0.0,0.000020
100,4.523359,0.021896,4.735878,0.004463,0.6,0.001000
200,3.475585,0.252338,5.388840,0.030181,1.2,0.001000
300,1.670449,0.681760,4.535975,0.209139,1.8,0.001000
400,0.418152,0.968325,3.592935,0.464187,2.4,0.001000
500,0.112976,0.997874,3.256477,0.499894,3.0,0.001000
600,0.062095,0.998937,3.138547,0.500956,3.6,0.001000
700,0.039284,0.999362,2.992656,0.502657,4.2,0.001000
800,0.080508,0.996599,2.850886,0.502019,4.8,0.001000
900,0.008265,0.999787,2.554769,0.509671,5.4,0.001000
1000,0.016570,0.999575,2.219950,0.521785,6.0,0.001000
1100,0.004852,1.000000,2.093953,0.530287,6.6,0.001000
1200,0.044386,0.998724,1.557702,0.588098,7.2,0.001000
1300,0.005368,1.000000,1.296602,0.633156,7.8,0.001000
1400,0.161510,0.990221,1.363327,0.631881,8.3,0.001000
1500,0.005330,1.000000,0.286391,0.950266,8.9,0.001000
1600,0.005044,1.000000,0.341510,0.943039,9.5,0.001000
1700,0.005860,1.000000,0.030364,0.998725,10.0,0.001000
1800,0.004156,1.000000,0.021319,0.999362,10.6,0.001000
1900,0.500973,0.875638,0.816367,0.778746,11.2,0.001000
2000,0.002828,1.000000,0.005619,1.000000,11.8,0.001000
2100,0.002692,1.000000,0.005339,0.999787,12.3,0.001000
2200,0.044295,0.998724,0.074047,0.995749,12.9,0.001000
2300,0.001812,1.000000,0.002734,1.000000,13.4,0.001000
2400,0.001630,1.000000,0.002499,1.000000,14.0,0.001000
2500,0.001832,1.000000,0.002496,1.000000,14.6,0.001000
2600,0.001835,1.000000,0.002315,1.000000,15.1,0.001000
2700,0.001161,1.000000,0.001456,1.000000,15.7,0.001000
2800,0.001095,1.000000,0.001333,1.000000,16.3,0.001000
2900,0.001437,1.000000,0.001687,1.000000,16.9,0.001000
3000,0.024503,0.999362,0.030380,0.998725,17.4,0.001000
3100,0.001230,1.000000,0.001461,1.000000,18.0,0.001000
3200,0.001297,1.000000,0.001490,1.000000,18.6,0.001000
3300,0.002496,1.000000,0.003095,1.000000,19.2,0.001000
3400,0.001432,1.000000,0.001655,1.000000,19.8,0.001000
3500,0.001064,1.000000,0.001193,1.000000,20.4,0.001000
3600,0.001009,1.000000,0.001198,1.000000,21.0,0.001000
3700,0.001353,1.000000,0.001526,1.000000,21.6,0.001000
3800,0.021661,0.999362,0.023841,0.999150,22.2,0.001000
3900,0.001339,1.000000,0.001565,1.000000,22.8,0.001000
4000,0.001284,1.000000,0.001431,1.000000,23.4,0.001000
4100,0.001186,1.000000,0.001454,1.000000,23.9,0.001000
4200,0.001392,1.000000,0.001586,1.000000,24.5,0.001000
4300,0.015375,1.000000,0.018599,0.999787,25.1,0.001000
4400,0.001127,1.000000,0.001316,1.000000,25.7,0.001000
4500,0.001009,1.000000,0.001132,1.000000,26.3,0.001000
4600,0.001240,1.000000,0.001542,1.000000,26.9,0.001000
4700,0.001345,1.000000,0.001515,1.000000,27.5,0.001000
4800,0.014765,0.999575,0.017325,0.999362,28.0,0.001000
