step,train_loss,train_acc,test_loss,test_acc,elapsed_sec,lr
0,5.112041,0.008716,5.122183,0.009352,0.0,0.000020
100,4.476404,0.030187,4.826673,0.002976,0.6,0.001000
200,3.136308,0.345876,5.057649,0.046546,1.1,0.001000
300,1.214683,0.812287,3.892212,0.317747,1.7,0.001000
400,0.241107,0.994473,2.767641,0.496706,2.2,0.001000
500,0.067829,0.999787,2.292412,0.514772,2.8,0.001000
600,0.047071,0.999787,1.961631,0.531562,3.3,0.001000
700,0.009891,1.000000,1.461053,0.598512,3.9,0.001000
800,0.202630,0.971514,1.734236,0.572370,4.4,0.001000
900,0.004771,1.000000,0.366693,0.923273,5.0,0.001000
1000,0.004087,1.000000,0.349477,0.926461,5.5,0.001000
1100,1.214598,0.683248,2.377482,0.397237,6.1,0.001000
1200,0.003035,1.000000,0.014289,1.000000,6.7,0.001000
1300,0.002523,1.000000,0.011630,0.999787,7.2,0.001000
1400,0.021430,1.000000,0.043508,0.997875,7.8,0.001000
1500,0.002274,1.000000,0.004344,1.000000,8.4,0.001000
1600,0.001686,1.000000,0.003164,1.000000,9.0,0.001000
1700,0.002022,1.000000,0.002956,1.000000,9.5,0.001000
1800,0.002011,1.000000,0.002848,1.000000,10.1,0.001000
1900,0.058019,0.997236,0.077643,0.994899,10.6,0.001000
2000,0.001799,1.000000,0.002342,1.000000,11.2,0.001000
2100,0.001483,1.000000,0.001873,1.000000,11.8,0.001000
2200,0.003800,1.000000,0.005653,0.999787,12.3,0.001000
2300,0.001607,1.000000,0.002017,1.000000,12.9,0.001000
2400,0.001108,1.000000,0.001337,1.000000,13.4,0.001000
2500,0.001042,1.000000,0.001338,1.000000,14.0,0.001000
2600,0.001414,1.000000,0.001663,1.000000,14.6,0.001000
2700,0.022652,0.998724,0.030496,0.997875,15.1,0.001000
2800,0.001048,1.000000,0.001240,1.000000,15.7,0.001000
2900,0.001109,1.000000,0.001242,1.000000,16.2,0.001000
3000,0.001129,1.000000,0.001416,1.000000,16.8,0.001000
3100,0.001209,1.000000,0.001346,1.000000,17.4,0.001000
3200,0.031127,0.998724,0.037923,0.996174,17.9,0.001000
3300,0.000985,1.000000,0.001119,1.000000,18.5,0.001000
3400,0.001029,1.000000,0.001125,1.000000,19.1,0.001000
3500,0.000868,1.000000,0.001000,1.000000,19.6,0.001000
3600,0.001098,1.000000,0.001194,1.000000,20.2,0.001000
3700,0.006710,0.999575,0.008408,0.999787,20.7,0.001000
3800,0.001023,1.000000,0.001133,1.000000,21.3,0.001000
3900,0.399242,0.893495,0.403739,0.890542,21.9,0.001000
4000,0.000953,1.000000,0.001079,1.000000,22.4,0.001000
4100,0.000986,1.000000,0.001060,1.000000,23.0,0.001000
4200,0.000836,1.000000,0.000939,1.000000,23.5,0.001000
4300,0.001084,1.000000,0.001171,1.000000,24.1,0.001000
4400,0.005603,1.000000,0.006954,1.000000,24.6,0.001000
4500,0.001007,1.000000,0.001105,1.000000,25.2,0.001000
4600,0.000801,1.000000,0.000857,1.000000,25.7,0.001000
4700,0.000820,1.000000,0.000921,1.000000,26.3,0.001000
4800,0.001074,1.000000,0.001157,1.000000,26.8,0.001000
4900,0.001297,1.000000,0.001552,1.000000,27.4,0.001000
5000,0.001163,1.000000,0.001258,1.000000,28.0,0.001000
5100,0.004256,1.000000,0.005114,1.000000,28.5,0.001000
5200,0.001150,1.000000,0.001255,1.000000,29.1,0.001000
5300,0.000805,1.000000,0.000861,1.000000,29.7,0.001000
5400,0.000934,1.000000,0.001029,1.000000,30.2,0.001000
5500,0.001059,1.000000,0.001129,1.000000,30.8,0.001000
5600,0.001154,1.000000,0.001357,1.000000,31.3,0.001000
5700,0.001211,1.000000,0.001308,1.000000,31.9,0.001000
5800,0.011902,0.999575,0.013662,0.999575,32.5,0.001000
5900,0.001173,1.000000,0.001273,1.000000,33.0,0.001000
6000,0.000931,1.000000,0.000990,1.000000,33.5,0.001000
6100,0.000852,1.000000,0.000969,1.000000,34.1,0.001000
6200,0.001090,1.000000,0.001166,1.000000,34.7,0.001000
6300,0.004064,1.000000,0.004872,1.000000,35.2,0.001000
6400,0.001195,1.000000,0.001296,1.000000,35.8,0.001000
6500,0.000909,1.000000,0.000966,1.000000,36.3,0.001000
6600,0.000917,1.000000,0.001031,1.000000,36.9,0.001000
6700,0.001183,1.000000,0.001269,1.000000,37.5,0.001000
6800,0.004578,1.000000,0.005305,1.000000,38.1,0.001000
6900,0.001103,1.000000,0.001200,1.000000,38.7,0.001000
7000,0.000768,1.000000,0.000818,1.000000,39.3,0.001000
7100,0.000917,1.000000,0.001060,1.000000,39.8,0.001000
7200,0.001016,1.000000,0.001091,1.000000,40.4,0.001000
7300,0.006183,1.000000,0.007996,0.999575,41.0,0.001000
7400,0.001069,1.000000,0.001160,1.000000,41.5,0.001000
7500,0.000819,1.000000,0.000876,1.000000,42.1,0.001000
7600,0.000877,1.000000,0.000977,1.000000,42.6,0.001000
7700,0.001015,1.000000,0.001085,1.000000,43.1,0.001000
7800,0.001760,1.000000,0.002088,1.000000,43.7,0.001000
7900,0.001210,1.000000,0.001303,1.000000,44.2,0.001000
8000,0.162268,0.967474,0.193344,0.953454,44.8,0.001000
8100,0.000925,1.000000,0.001011,1.000000,45.3,0.001000
8200,0.000831,1.000000,0.000887,1.000000,45.9,0.001000
8300,0.000839,1.000000,0.000954,1.000000,46.4,0.001000
8400,0.001126,1.000000,0.001204,1.000000,47.0,0.001000
8500,0.031926,0.999362,0.038269,0.997450,47.6,0.001000
8600,0.000866,1.000000,0.000945,1.000000,48.1,0.001000
8700,0.000848,1.000000,0.000902,1.000000,48.7,0.001000
8800,0.001920,1.000000,0.002763,0.999787,49.3,0.001000
8900,0.000975,1.000000,0.001063,1.000000,49.8,0.001000
9000,0.034597,0.997449,0.042431,0.995537,50.4,0.001000
9100,0.000864,1.000000,0.000964,1.000000,50.9,0.001000
9200,0.001017,1.000000,0.001091,1.000000,51.5,0.001000
9300,0.003089,1.000000,0.003643,1.000000,52.1,0.001000
9400,0.001060,1.000000,0.001150,1.000000,52.7,0.001000
9500,0.001994,1.000000,0.002123,1.000000,53.2,0.001000
9600,0.000811,1.000000,0.000913,1.000000,53.8,0.001000
9700,0.001030,1.000000,0.001102,1.000000,54.3,0.001000
9800,0.002404,1.000000,0.002853,1.000000,54.9,0.001000
9900,0.001035,1.000000,0.001115,1.000000,55.5,0.001000
10000,0.322529,0.921131,0.348221,0.917747,56.0,0.001000
10100,0.000802,1.000000,0.000889,1.000000,56.6,0.001000
10200,0.000888,1.000000,0.000948,1.000000,57.1,0.001000
10300,0.002272,1.000000,0.002798,1.000000,57.7,0.001000
10400,0.001113,1.000000,0.001206,1.000000,58.3,0.001000
10500,0.000771,1.000000,0.000819,1.000000,58.9,0.001000
10600,0.000834,1.000000,0.000947,1.000000,59.5,0.001000
10700,0.001146,1.000000,0.001235,1.000000,60.0,0.001000
10800,0.013649,0.999787,0.017240,0.998937,60.6,0.001000
10900,0.001045,1.000000,0.001139,1.000000,61.2,0.001000
11000,0.000859,1.000000,0.000918,1.000000,61.7,0.001000
11100,0.000858,1.000000,0.000961,1.000000,62.3,0.001000
11200,0.001090,1.000000,0.001170,1.000000,62.9,0.001000
11300,0.009504,1.000000,0.010727,1.000000,63.4,0.001000
11400,0.001098,1.000000,0.001195,1.000000,64.0,0.001000
11500,0.000879,1.000000,0.000935,1.000000,64.6,0.001000
11600,0.000868,1.000000,0.000979,1.000000,65.1,0.001000
11700,0.001147,1.000000,0.001224,1.000000,65.7,0.001000
11800,0.029178,0.999575,0.034436,0.999150,66.3,0.001000
11900,0.000952,1.000000,0.001038,1.000000,66.8,0.001000
12000,0.000868,1.000000,0.000927,1.000000,67.4,0.001000
12100,0.000854,1.000000,0.000954,1.000000,67.9,0.001000
12200,0.001104,1.000000,0.001173,1.000000,68.5,0.001000
12300,0.019242,0.999787,0.022855,0.999575,69.0,0.001000
12400,0.001017,1.000000,0.001109,1.000000,69.6,0.001000
12500,0.000962,1.000000,0.001024,1.000000,70.1,0.001000
12600,0.001772,1.000000,0.002121,1.000000,70.7,0.001000
12700,0.001111,1.000000,0.001196,1.000000,71.3,0.001000
12800,0.000777,1.000000,0.000824,1.000000,71.8,0.001000
12900,0.000864,1.000000,0.000955,1.000000,72.4,0.001000
13000,0.000954,1.000000,0.001017,1.000000,73.0,0.001000
13100,0.001100,1.000000,0.001264,1.000000,73.6,0.001000
13200,0.001113,1.000000,0.001196,1.000000,74.2,0.001000
13300,0.039884,0.998299,0.047873,0.997662,74.7,0.001000
13400,0.000946,1.000000,0.001031,1.000000,75.3,0.001000
13500,0.000897,1.000000,0.000957,1.000000,75.9,0.001000
13600,0.001003,1.000000,0.001179,1.000000,76.5,0.001000
13700,0.001112,1.000000,0.001195,1.000000,77.0,0.001000
13800,0.005044,1.000000,0.005989,1.000000,77.6,0.001000
13900,0.001034,1.000000,0.001120,1.000000,78.1,0.001000
14000,0.000712,1.000000,0.000762,1.000000,78.7,0.001000
14100,0.000831,1.000000,0.000923,1.000000,79.2,0.001000
14200,0.001044,1.000000,0.001112,1.000000,79.8,0.001000
14300,0.001755,1.000000,0.002004,1.000000,80.4,0.001000
14400,0.001099,1.000000,0.001180,1.000000,80.9,0.001000
14500,0.117416,0.987670,0.135985,0.976621,81.5,0.001000
14600,0.000919,1.000000,0.001020,1.000000,82.0,0.001000
14700,0.000992,1.000000,0.001066,1.000000,82.6,0.001000
14800,0.002211,1.000000,0.002718,1.000000,83.2,0.001000
14900,0.001119,1.000000,0.001212,1.000000,83.7,0.001000
15000,0.578760,0.847789,0.676182,0.828055,84.3,0.001000
15100,0.000820,1.000000,0.000902,1.000000,84.9,0.001000
15200,0.000820,1.000000,0.000885,1.000000,85.4,0.001000
15300,0.001065,1.000000,0.001228,1.000000,86.0,0.001000
15400,0.001086,1.000000,0.001169,1.000000,86.5,0.001000
15500,0.035702,0.997236,0.039832,0.997450,87.1,0.001000
15600,0.000908,1.000000,0.000998,1.000000,87.6,0.001000
15700,0.000907,1.000000,0.000977,1.000000,88.2,0.001000
15800,0.000949,1.000000,0.001131,1.000000,88.7,0.001000
15900,0.001147,1.000000,0.001235,1.000000,89.3,0.001000
16000,0.005716,1.000000,0.006590,1.000000,89.9,0.001000
16100,0.001051,1.000000,0.001144,1.000000,90.5,0.001000
16200,0.000774,1.000000,0.000831,1.000000,91.0,0.001000
16300,0.001459,1.000000,0.001734,1.000000,91.6,0.001000
16400,0.000999,1.000000,0.001079,1.000000,92.1,0.001000
16500,0.034283,0.998724,0.039736,0.997875,92.7,0.001000
16600,0.000885,1.000000,0.000975,1.000000,93.2,0.001000
16700,0.000877,1.000000,0.000938,1.000000,93.8,0.001000
16800,0.000878,1.000000,0.001003,1.000000,94.3,0.001000
16900,0.001124,1.000000,0.001207,1.000000,94.9,0.001000
17000,0.007834,1.000000,0.009520,0.999575,95.5,0.001000
17100,0.001077,1.000000,0.001177,1.000000,96.0,0.001000
17200,0.000813,1.000000,0.000877,1.000000,96.6,0.001000
17300,0.000723,1.000000,0.000812,1.000000,97.1,0.001000
17400,0.000980,1.000000,0.001054,1.000000,97.7,0.001000
17500,0.013272,1.000000,0.015073,0.999575,98.2,0.001000
17600,0.000976,1.000000,0.001066,1.000000,98.8,0.001000
17700,0.000847,1.000000,0.000908,1.000000,99.4,0.001000
17800,0.001393,1.000000,0.001675,1.000000,99.9,0.001000
17900,0.001001,1.000000,0.001088,1.000000,100.4,0.001000
18000,0.000873,1.000000,0.000934,1.000000,101.0,0.001000
