step,train_loss,train_acc,test_loss,test_acc,elapsed_sec,lr
0,5.228819,0.007440,5.256262,0.009139,0.0,0.000020
100,4.422131,0.042304,4.889959,0.001488,1.0,0.001000
200,2.113412,0.593537,4.688851,0.136663,2.1,0.001000
300,0.254011,0.993835,3.422739,0.483528,3.2,0.001000
400,0.052985,1.000000,3.231621,0.492455,4.3,0.001000
500,0.028262,1.000000,3.204369,0.494793,5.3,0.001000
600,0.007695,1.000000,3.135658,0.496493,6.3,0.001000
700,0.006233,1.000000,3.101594,0.496918,7.3,0.001000
800,0.004674,1.000000,2.899393,0.501594,8.4,0.001000
900,0.004377,1.000000,2.762130,0.507545,9.4,0.001000
1000,0.064781,0.998299,2.417702,0.510733,10.4,0.001000
1100,0.004562,1.000000,2.065820,0.539001,11.4,0.001000
1200,0.075779,0.996599,1.704681,0.575770,12.4,0.001000
1300,0.003774,1.000000,1.131406,0.671626,13.5,0.001000
1400,0.003940,1.000000,1.185876,0.661424,14.5,0.001000
1500,0.004223,1.000000,0.070983,0.996599,15.5,0.001000
1600,0.003294,1.000000,0.090529,0.994899,16.5,0.001000
1700,0.003664,1.000000,0.012235,0.999787,17.5,0.001000
1800,0.002571,1.000000,0.009327,1.000000,18.5,0.001000
1900,0.014344,1.000000,0.031732,0.998087,19.6,0.001000
2000,0.001574,1.000000,0.003334,1.000000,20.6,0.001000
2100,0.000972,1.000000,0.001775,1.000000,21.7,0.001000
2200,0.000928,1.000000,0.001689,1.000000,22.7,0.001000
2300,0.001063,1.000000,0.001674,1.000000,23.7,0.001000
2400,0.001355,1.000000,0.002283,1.000000,24.7,0.001000
2500,0.000940,1.000000,0.001434,1.000000,25.7,0.001000
2600,0.178239,0.966837,0.203570,0.961955,26.8,0.001000
2700,0.000749,1.000000,0.001117,1.000000,27.8,0.001000
2800,0.000742,1.000000,0.001002,1.000000,28.8,0.001000
2900,0.000841,1.000000,0.001272,1.000000,29.8,0.001000
3000,0.000835,1.000000,0.001135,1.000000,30.9,0.001000
3100,0.207496,0.956845,0.265538,0.946440,31.9,0.001000
3200,0.000705,1.000000,0.000972,1.000000,32.9,0.001000
3300,0.000689,1.000000,0.000890,1.000000,33.9,0.001000
3400,0.000667,1.000000,0.000935,1.000000,34.9,0.001000
3500,0.000727,1.000000,0.000964,1.000000,35.9,0.001000
3600,0.021024,0.999787,0.029172,0.998937,36.9,0.001000
3700,0.000655,1.000000,0.000887,1.000000,37.9,0.001000
3800,0.000654,1.000000,0.000835,1.000000,38.8,0.001000
3900,0.000599,1.000000,0.000830,1.000000,39.8,0.001000
4000,0.000700,1.000000,0.000901,1.000000,40.9,0.001000
4100,0.005362,1.000000,0.009185,0.999575,41.9,0.001000
4200,0.000638,1.000000,0.000869,1.000000,42.8,0.001000
4300,0.000522,1.000000,0.000682,1.000000,43.9,0.001000
4400,0.000520,1.000000,0.000751,1.000000,44.9,0.001000
4500,0.000596,1.000000,0.000766,1.000000,45.9,0.001000
4600,0.000750,1.000000,0.001046,1.000000,47.0,0.001000
4700,0.000734,1.000000,0.000972,1.000000,48.0,0.001000
4800,0.007943,0.999787,0.011427,0.999575,49.0,0.001000
4900,0.000672,1.000000,0.000958,1.000000,50.1,0.001000
5000,0.000513,1.000000,0.000661,1.000000,51.1,0.001000
5100,0.000546,1.000000,0.000769,1.000000,52.0,0.001000
5200,0.000745,1.000000,0.001008,1.000000,53.1,0.001000
5300,0.000647,1.000000,0.000916,1.000000,54.1,0.001000
5400,0.000751,1.000000,0.001000,1.000000,55.1,0.001000
5500,0.032087,0.998937,0.039802,0.999575,56.1,0.001000
5600,0.000535,1.000000,0.000712,1.000000,57.1,0.001000
5700,0.000684,1.000000,0.000851,1.000000,58.1,0.001000
5800,0.000627,1.000000,0.000911,1.000000,59.1,0.001000
5900,0.050851,0.997024,0.061997,0.995324,60.1,0.001000
6000,0.000706,1.000000,0.001015,1.000000,61.1,0.001000
6100,0.000572,1.000000,0.000735,1.000000,62.1,0.001000
6200,0.000564,1.000000,0.000857,1.000000,63.1,0.001000
6300,0.000627,1.000000,0.000841,1.000000,64.2,0.001000
6400,0.220498,0.955782,0.280645,0.937088,65.1,0.001000
6500,0.000492,1.000000,0.000714,1.000000,66.1,0.001000
6600,0.000450,1.000000,0.000589,1.000000,67.1,0.001000
6700,0.000383,1.000000,0.000579,1.000000,68.1,0.001000
6800,0.000532,1.000000,0.000701,1.000000,69.1,0.001000
6900,0.000539,1.000000,0.000748,1.000000,70.1,0.001000
7000,0.000686,1.000000,0.000885,1.000000,71.2,0.001000
