step,train_loss,train_acc,test_loss,test_acc,elapsed_sec,lr
0,5.039134,0.010500,5.039659,0.010600,1.1,0.000020
100,4.596098,0.010336,4.597058,0.010524,2.8,0.001000
200,4.592534,0.010348,4.593239,0.010336,4.4,0.001000
300,4.587828,0.010092,4.589657,0.010572,6.1,0.001000
400,4.583313,0.010560,4.585142,0.010168,7.7,0.001000
500,4.579063,0.010572,4.581204,0.010168,9.4,0.001000
600,4.579823,0.010772,4.582003,0.010416,11.1,0.001000
700,4.578362,0.010668,4.580153,0.010456,12.7,0.001000
800,4.578518,0.010816,4.580503,0.010276,14.4,0.001000
900,4.575874,0.011552,4.578184,0.010048,16.1,0.001000
1000,4.575394,0.011564,4.578177,0.010156,17.8,0.001000
1100,4.574909,0.011360,4.578596,0.010212,19.5,0.001000
1200,4.476104,0.018448,4.479924,0.017140,21.1,0.001000
1300,3.384864,0.091252,3.386921,0.089368,22.8,0.001000
1400,2.981453,0.158512,2.982605,0.156524,24.4,0.001000
1500,2.851068,0.192716,2.852491,0.191168,26.1,0.001000
1600,2.768188,0.184372,2.769134,0.183476,27.8,0.001000
1700,2.792528,0.125980,2.793956,0.125144,29.4,0.001000
1800,2.697800,0.125624,2.698958,0.122824,31.1,0.001000
1900,2.641652,0.168668,2.642832,0.166652,32.8,0.001000
2000,2.577617,0.169524,2.579598,0.167344,34.4,0.001000
2100,2.620039,0.146932,2.622518,0.144656,36.1,0.001000
2200,2.496438,0.168676,2.499053,0.167956,37.7,0.001000
2300,2.511105,0.122748,2.513085,0.122888,39.4,0.001000
2400,2.538795,0.154864,2.540794,0.152604,41.1,0.001000
2500,2.469397,0.147272,2.472623,0.145464,42.7,0.001000
2600,2.441628,0.175060,2.444482,0.174160,44.4,0.001000
2700,2.481222,0.171636,2.483536,0.171796,46.0,0.001000
2800,2.516871,0.154444,2.521035,0.153228,47.7,0.001000
2900,2.462312,0.196188,2.467324,0.194056,49.3,0.001000
3000,2.655060,0.049700,2.655803,0.049028,51.0,0.001000
3100,2.480196,0.113720,2.482931,0.112624,52.7,0.001000
3200,2.390734,0.176488,2.392716,0.174784,54.4,0.001000
3300,2.412886,0.206284,2.415669,0.205252,56.0,0.001000
3400,2.424065,0.162784,2.426988,0.161800,57.7,0.001000
3500,2.499388,0.123836,2.500960,0.121232,59.4,0.001000
3600,2.516133,0.118328,2.519535,0.118264,61.0,0.001000
3700,2.440563,0.217384,2.442682,0.216660,62.7,0.001000
3800,2.828543,0.075120,2.829803,0.074356,64.3,0.001000
3900,2.756580,0.106000,2.758246,0.105756,66.0,0.001000
4000,2.622009,0.124796,2.626849,0.123772,67.7,0.001000
4100,2.352963,0.228516,2.355477,0.226828,69.3,0.001000
4200,2.426072,0.173976,2.427912,0.175196,71.0,0.001000
4300,2.575814,0.129172,2.579408,0.127724,72.6,0.001000
4400,2.348417,0.188796,2.351636,0.185648,74.3,0.001000
