step,train_loss,train_acc,test_loss,test_acc,elapsed_sec,lr
0,5.039145,0.010500,5.039671,0.010600,1.1,0.000020
100,4.597946,0.010248,4.598815,0.010504,2.7,0.001000
200,4.594513,0.010252,4.595210,0.010448,4.4,0.001000
300,4.591018,0.010588,4.593018,0.010220,6.1,0.001000
400,4.588415,0.010592,4.590342,0.010392,7.7,0.001000
500,4.582492,0.010520,4.585198,0.010176,9.4,0.001000
600,4.583756,0.010560,4.586923,0.009952,11.1,0.001000
700,4.581338,0.010916,4.584908,0.009908,12.7,0.001000
800,4.581464,0.010892,4.584691,0.009884,14.4,0.001000
900,4.580595,0.010888,4.584769,0.010060,16.1,0.001000
1000,4.577288,0.011320,4.582321,0.009976,17.7,0.001000
1100,4.578516,0.011032,4.584248,0.010272,19.4,0.001000
1200,4.578306,0.011124,4.585087,0.010128,21.1,0.001000
1300,4.574276,0.012512,4.583987,0.009852,22.7,0.001000
1400,4.574590,0.012188,4.585491,0.009968,24.4,0.001000
1500,4.573316,0.012132,4.585199,0.009460,26.1,0.001000
1600,4.571863,0.013176,4.585430,0.010084,27.7,0.001000
1700,4.566591,0.013808,4.580916,0.010544,29.4,0.001000
1800,3.580831,0.069368,3.588877,0.064352,31.1,0.001000
1900,2.673814,0.183440,2.678725,0.175776,32.7,0.001000
2000,2.277856,0.262868,2.282187,0.256820,34.4,0.001000
2100,2.122918,0.251076,2.126840,0.245324,36.1,0.001000
2200,1.956895,0.300424,1.960260,0.295676,37.7,0.001000
2300,1.832460,0.320492,1.838348,0.311588,39.4,0.001000
2400,1.563238,0.433872,1.569821,0.424876,41.1,0.001000
2500,1.632840,0.329528,1.639856,0.322392,42.8,0.001000
2600,1.628068,0.289516,1.633808,0.283388,44.5,0.001000
2700,1.443962,0.411856,1.448974,0.405812,46.2,0.001000
2800,1.495393,0.380564,1.500936,0.375424,47.8,0.001000
2900,1.534775,0.360676,1.538761,0.356176,49.5,0.001000
3000,1.354589,0.415280,1.358598,0.409932,51.2,0.001000
3100,1.335127,0.435588,1.337196,0.433296,52.9,0.001000
3200,1.564970,0.323164,1.568302,0.319288,54.6,0.001000
3300,1.338229,0.413148,1.340492,0.411168,56.2,0.001000
3400,1.493269,0.353768,1.499691,0.349352,57.9,0.001000
3500,1.417575,0.373212,1.419531,0.371724,59.6,0.001000
3600,1.281478,0.458812,1.285155,0.455884,61.3,0.001000
3700,1.280567,0.436756,1.283950,0.433812,63.0,0.001000
3800,1.118234,0.586440,1.119518,0.585328,64.7,0.001000
3900,1.104008,0.582508,1.107066,0.578100,66.4,0.001000
4000,1.324513,0.431920,1.325323,0.432180,68.1,0.001000
4100,1.121743,0.550116,1.124212,0.547460,69.8,0.001000
4200,1.099071,0.577804,1.100858,0.574172,71.5,0.001000
4300,1.381008,0.365556,1.384529,0.362880,73.2,0.001000
4400,1.544260,0.325164,1.545085,0.324020,74.8,0.001000
4500,1.345554,0.398512,1.349891,0.396548,76.5,0.001000
4600,1.099836,0.566660,1.101006,0.564520,78.2,0.001000
4700,1.128857,0.502776,1.129818,0.502468,79.9,0.001000
4800,1.149547,0.529684,1.150612,0.526504,81.6,0.001000
4900,1.399773,0.394568,1.400141,0.393544,83.3,0.001000
5000,1.412694,0.353708,1.415639,0.352764,84.9,0.001000
5100,1.356592,0.388112,1.357193,0.386492,86.7,0.001000
5200,1.114756,0.550208,1.116584,0.549552,88.3,0.001000
5300,1.545907,0.357928,1.547941,0.359364,90.0,0.001000
5400,1.668652,0.311512,1.672290,0.312264,91.7,0.001000
5500,1.344066,0.387284,1.342795,0.388116,93.4,0.001000
5600,1.101225,0.541072,1.101982,0.537712,95.1,0.001000
5700,1.272258,0.416636,1.275113,0.415444,96.7,0.001000
5800,1.209679,0.428232,1.211255,0.426208,98.5,0.001000
5900,1.108421,0.501924,1.109702,0.499928,100.2,0.001000
6000,1.061797,0.583320,1.064222,0.580856,101.9,0.001000
6100,1.124301,0.521096,1.128431,0.517724,103.6,0.001000
6200,1.324233,0.373196,1.322398,0.375008,105.3,0.001000
6300,1.213925,0.452096,1.214326,0.452596,107.0,0.001000
6400,1.188750,0.479844,1.189845,0.480104,108.7,0.001000
6500,1.222429,0.432260,1.222753,0.433276,110.4,0.001000
6600,1.285087,0.458080,1.282713,0.458632,112.0,0.001000
6700,1.359254,0.410068,1.361749,0.408260,113.8,0.001000
6800,1.180321,0.465516,1.181083,0.462020,115.5,0.001000
6900,1.203288,0.460860,1.202470,0.459604,117.1,0.001000
7000,1.150090,0.482968,1.148965,0.481724,118.8,0.001000
7100,1.058991,0.570796,1.059967,0.570612,120.5,0.001000
7200,1.180295,0.480928,1.181710,0.479436,122.2,0.001000
7300,1.116521,0.517044,1.118228,0.516300,123.9,0.001000
7400,1.204561,0.470028,1.205280,0.469124,125.7,0.001000
7500,1.126408,0.515688,1.129228,0.513372,127.3,0.001000
7600,1.075968,0.540884,1.075206,0.540844,129.1,0.001000
7700,1.287462,0.448784,1.287999,0.445712,130.8,0.001000
7800,1.724040,0.286448,1.723845,0.285156,132.4,0.001000
7900,1.174935,0.486496,1.174706,0.487640,134.2,0.001000
8000,1.178731,0.502152,1.181532,0.500688,135.9,0.001000
8100,1.271710,0.472148,1.272594,0.470592,137.5,0.001000
8200,1.125953,0.508396,1.127355,0.508236,139.2,0.001000
8300,1.091062,0.526444,1.091949,0.524912,140.9,0.001000
8400,1.478977,0.382616,1.481149,0.380240,142.6,0.001000
8500,1.620627,0.323828,1.623560,0.322488,144.3,0.001000
8600,1.104169,0.532912,1.105667,0.532572,146.0,0.001000
8700,1.214159,0.456552,1.215734,0.455736,147.7,0.001000
8800,1.290957,0.431756,1.293852,0.432888,149.3,0.001000
8900,1.192655,0.487216,1.189897,0.488376,151.0,0.001000
9000,1.277024,0.430008,1.279243,0.428856,152.8,0.001000
9100,1.067543,0.547316,1.068387,0.545916,154.5,0.001000
9200,1.267191,0.402672,1.268820,0.401560,156.2,0.001000
9300,1.038775,0.555032,1.039639,0.555192,157.8,0.001000
9400,1.423750,0.369124,1.422960,0.367756,159.5,0.001000
9500,1.289750,0.381464,1.289552,0.378676,161.2,0.001000
9600,1.095577,0.535248,1.097779,0.532904,162.8,0.001000
9700,1.227229,0.439604,1.229528,0.439252,164.6,0.001000
9800,1.190857,0.476340,1.192204,0.475500,166.3,0.001000
9900,1.484337,0.353728,1.487653,0.352268,168.0,0.001000
10000,1.281979,0.436196,1.284295,0.434404,169.6,0.001000
10100,1.343441,0.404904,1.346791,0.404256,171.3,0.001000
10200,1.040287,0.558932,1.040619,0.558432,173.0,0.001000
10300,1.175419,0.486248,1.173163,0.487208,174.6,0.001000
10400,1.040654,0.546108,1.043465,0.544616,176.3,0.001000
10500,1.409701,0.364504,1.414550,0.362492,178.0,0.001000
10600,1.175584,0.466900,1.176205,0.467356,179.7,0.001000
10700,1.213337,0.463912,1.213647,0.462296,181.4,0.001000
10800,1.071728,0.546484,1.070809,0.547084,183.1,0.001000
10900,1.165689,0.488192,1.168864,0.486148,184.7,0.001000
11000,1.152509,0.504796,1.153814,0.503684,186.4,0.001000
11100,0.995718,0.606760,0.995158,0.608448,188.1,0.001000
11200,0.963273,0.642868,0.965573,0.641804,189.8,0.001000
11300,1.295131,0.428508,1.295460,0.427568,191.4,0.001000
11400,1.179287,0.474636,1.181174,0.472428,193.3,0.001000
11500,1.084892,0.539108,1.085273,0.541220,195.1,0.001000
11600,1.167209,0.468704,1.171087,0.466008,196.8,0.001000
11700,1.252919,0.416956,1.253870,0.416520,198.5,0.001000
11800,1.423639,0.335096,1.426553,0.333100,200.2,0.001000
11900,1.003978,0.603128,1.004446,0.601284,201.8,0.001000
12000,1.140879,0.504160,1.138948,0.503820,203.5,0.001000
12100,1.231196,0.453372,1.232201,0.451980,205.2,0.001000
12200,1.213029,0.461056,1.213850,0.460064,206.9,0.001000
12300,1.130991,0.517220,1.132143,0.515004,208.6,0.001000
12400,1.107059,0.523048,1.108614,0.523280,210.2,0.001000
12500,0.910070,0.688528,0.911971,0.685868,211.9,0.001000
12600,1.215778,0.472172,1.217438,0.472160,213.6,0.001000
12700,1.384271,0.347844,1.385164,0.348268,215.3,0.001000
12800,1.282133,0.445604,1.283990,0.445848,217.0,0.001000
12900,1.292811,0.421072,1.294665,0.421204,218.7,0.001000
13000,1.707518,0.356776,1.710268,0.355148,220.4,0.001000
13100,1.097045,0.562752,1.096163,0.561756,222.1,0.001000
13200,1.189840,0.494808,1.191949,0.492236,223.7,0.001000
13300,1.130163,0.493416,1.131666,0.491828,225.4,0.001000
13400,1.063142,0.543964,1.064671,0.545220,227.1,0.001000
13500,1.439797,0.363624,1.442996,0.362056,228.8,0.001000
13600,1.128100,0.534768,1.132446,0.533640,230.5,0.001000
13700,1.000893,0.579948,1.001423,0.579208,232.2,0.001000
13800,1.147005,0.514872,1.148272,0.513244,233.9,0.001000
13900,1.093675,0.481412,1.093585,0.482280,235.6,0.001000
14000,0.945528,0.645504,0.946022,0.645600,237.3,0.001000
14100,1.125916,0.497792,1.126084,0.495868,239.0,0.001000
14200,1.039102,0.526948,1.040709,0.524748,240.7,0.001000
14300,1.094212,0.538984,1.095456,0.539468,242.3,0.001000
14400,0.990185,0.591968,0.991831,0.589336,244.0,0.001000
14500,1.173831,0.476776,1.176111,0.474000,245.7,0.001000
14600,1.290999,0.434988,1.295550,0.432684,247.4,0.001000
14700,1.117092,0.523636,1.116226,0.523516,249.1,0.001000
14800,0.999263,0.580708,1.000658,0.581320,250.8,0.001000
14900,1.082275,0.526676,1.084167,0.524028,252.5,0.001000
15000,1.136811,0.517224,1.137437,0.516856,254.2,0.001000
15100,1.258621,0.442036,1.259809,0.441168,255.9,0.001000
15200,1.115262,0.495012,1.117138,0.493968,257.6,0.001000
15300,1.175492,0.478644,1.180762,0.474648,259.2,0.001000
15400,1.163371,0.482684,1.165429,0.479156,260.9,0.001000
15500,1.051862,0.532144,1.052552,0.529952,262.6,0.001000
15600,1.039351,0.546928,1.039709,0.544340,264.3,0.001000
15700,1.078805,0.522328,1.081080,0.520000,266.0,0.001000
15800,1.049465,0.530400,1.050825,0.531252,267.7,0.001000
15900,1.091558,0.514384,1.090662,0.515624,269.4,0.001000
16000,1.221625,0.467584,1.223967,0.465524,271.1,0.001000
16100,1.050653,0.543704,1.052382,0.543884,272.8,0.001000
16200,0.985129,0.585076,0.985551,0.585900,274.5,0.001000
16300,0.957495,0.628680,0.957633,0.628252,276.2,0.001000
16400,1.071251,0.546988,1.073486,0.546852,277.9,0.001000
16500,1.103053,0.497624,1.104663,0.496940,279.6,0.001000
16600,1.038043,0.568328,1.039148,0.566152,281.3,0.001000
16700,1.336024,0.393836,1.336002,0.393672,283.0,0.001000
16800,1.043488,0.555664,1.045546,0.552384,284.7,0.001000
16900,1.114744,0.494596,1.117083,0.493416,286.4,0.001000
17000,1.025933,0.559404,1.025619,0.559600,288.1,0.001000
17100,1.069094,0.530512,1.071329,0.529924,289.8,0.001000
17200,1.001306,0.548160,1.001200,0.547072,291.4,0.001000
17300,0.991834,0.565696,0.993614,0.564424,293.1,0.001000
17400,1.080041,0.509584,1.081130,0.508088,294.8,0.001000
17500,1.026332,0.543636,1.026950,0.543148,296.5,0.001000
17600,1.068535,0.532836,1.070348,0.532456,298.2,0.001000
17700,1.205797,0.459160,1.207406,0.458588,299.9,0.001000
17800,1.121269,0.497308,1.121065,0.496708,301.5,0.001000
17900,1.311622,0.426284,1.314890,0.427140,303.2,0.001000
18000,1.118127,0.451812,1.119666,0.451172,304.9,0.001000
18100,1.094605,0.499296,1.098168,0.498264,306.6,0.001000
18200,1.127752,0.472812,1.130470,0.468616,308.3,0.001000
18300,1.131784,0.477268,1.130959,0.479548,309.9,0.001000
18400,1.076852,0.515620,1.079952,0.513928,311.7,0.001000
18500,1.223446,0.462744,1.221402,0.463728,313.3,0.001000
18600,1.023671,0.580996,1.025202,0.579096,315.0,0.001000
18700,1.145550,0.497856,1.147616,0.496784,316.7,0.001000
18800,1.052128,0.556304,1.054137,0.553064,318.3,0.001000
18900,1.180232,0.506492,1.180486,0.507348,320.0,0.001000
19000,1.052674,0.564044,1.053715,0.564308,321.7,0.001000
19100,1.319557,0.391928,1.319685,0.392732,323.4,0.001000
19200,0.956613,0.613064,0.956319,0.612780,325.1,0.001000
19300,1.023493,0.556332,1.024197,0.556300,326.7,0.001000
19400,1.205447,0.452536,1.206550,0.450416,328.4,0.001000
19500,0.940995,0.621256,0.943099,0.619060,330.1,0.001000
19600,1.135347,0.481720,1.136686,0.481624,331.8,0.001000
19700,1.097680,0.502808,1.101285,0.499808,333.5,0.001000
19800,1.032640,0.565216,1.032176,0.563676,335.2,0.001000
19900,1.047004,0.559212,1.049320,0.558684,336.8,0.001000
20000,1.157406,0.438572,1.157446,0.436888,338.5,0.001000
20100,1.176447,0.483176,1.181348,0.480500,340.2,0.001000
20200,1.110675,0.513244,1.112780,0.511376,341.9,0.001000
20300,1.037650,0.549560,1.038609,0.547860,343.6,0.001000
20400,1.317262,0.425636,1.316766,0.425636,345.2,0.001000
20500,1.126030,0.493300,1.126588,0.492912,346.9,0.001000
20600,1.059873,0.522272,1.060948,0.522708,348.6,0.001000
20700,1.249615,0.427072,1.250576,0.425068,350.3,0.001000
20800,1.220101,0.438932,1.221861,0.437332,352.0,0.001000
20900,1.142492,0.484032,1.145358,0.480632,353.7,0.001000
21000,0.956564,0.623536,0.959109,0.622732,355.4,0.001000
21100,1.061290,0.544496,1.062359,0.544120,357.1,0.001000
21200,0.979448,0.603488,0.980133,0.603488,358.8,0.001000
21300,0.920543,0.656104,0.922080,0.656420,360.4,0.001000
21400,1.135675,0.482220,1.137126,0.479932,362.1,0.001000
21500,1.022368,0.547512,1.022126,0.545888,363.8,0.001000
21600,1.139980,0.495760,1.139612,0.496744,365.5,0.001000
21700,1.128172,0.459496,1.129668,0.457660,367.2,0.001000
21800,1.073611,0.504880,1.076305,0.504232,368.9,0.001000
21900,1.364293,0.388012,1.366961,0.386108,370.6,0.001000
22000,0.928142,0.631972,0.930001,0.630464,372.3,0.001000
22100,0.985724,0.606272,0.986437,0.606120,373.9,0.001000
22200,1.083641,0.544784,1.084314,0.545464,375.6,0.001000
22300,1.250521,0.450480,1.251601,0.449468,377.3,0.001000
22400,1.317564,0.447096,1.316637,0.447484,379.0,0.001000
22500,1.520076,0.334832,1.516860,0.336228,380.7,0.001000
22600,0.938176,0.621080,0.939823,0.619300,382.5,0.001000
22700,1.120381,0.474112,1.121535,0.472692,384.2,0.001000
22800,1.144011,0.514856,1.145906,0.515176,385.9,0.001000
22900,0.960959,0.592920,0.960494,0.592840,387.6,0.001000
23000,1.084079,0.490656,1.085692,0.492596,389.4,0.001000
23100,0.997502,0.569020,0.998455,0.570124,391.2,0.001000
23200,1.181299,0.457848,1.179697,0.460232,392.9,0.001000
23300,1.257064,0.402680,1.259378,0.401044,394.6,0.001000
23400,1.023742,0.541808,1.025489,0.542784,396.3,0.001000
23500,1.157622,0.465944,1.157251,0.464144,398.2,0.001000
23600,1.326378,0.477164,1.327742,0.473976,399.9,0.001000
23700,1.037805,0.597324,1.040983,0.594892,401.6,0.001000
23800,1.607997,0.280464,1.606774,0.281888,403.4,0.001000
23900,0.942207,0.627828,0.941672,0.628180,405.0,0.001000
24000,0.971667,0.594332,0.972589,0.594640,406.8,0.001000
24100,1.095706,0.501616,1.096102,0.500636,408.6,0.001000
24200,1.037487,0.544156,1.039800,0.542144,410.3,0.001000
24300,1.183004,0.470588,1.184388,0.471608,412.0,0.001000
24400,1.205061,0.442344,1.208851,0.439116,413.7,0.001000
24500,0.987565,0.584264,0.988792,0.583612,415.4,0.001000
24600,1.030033,0.559376,1.031370,0.556908,417.2,0.001000
24700,1.071882,0.532700,1.071454,0.532024,418.9,0.001000
24800,0.966662,0.580940,0.968915,0.580032,420.6,0.001000
24900,1.067325,0.533976,1.068012,0.533276,422.3,0.001000
25000,0.903358,0.661060,0.904087,0.660832,424.1,0.001000
25100,1.052925,0.535824,1.056478,0.532592,425.8,0.001000
25200,1.229571,0.475436,1.232968,0.473844,427.5,0.001000
25300,1.025984,0.554396,1.028565,0.550764,429.2,0.001000
25400,1.141884,0.481456,1.142898,0.479780,431.0,0.001000
25500,1.345138,0.401140,1.344726,0.402380,432.7,0.001000
25600,1.039758,0.535040,1.041729,0.533396,434.3,0.001000
25700,1.030534,0.576356,1.033009,0.574652,436.0,0.001000
