step,train_loss,train_acc,test_loss,test_acc,elapsed_sec,lr
0,5.047675,0.010476,5.047452,0.010280,2.1,0.000020
100,4.597125,0.010156,4.598004,0.010288,5.2,0.001000
200,4.592648,0.010372,4.593106,0.010268,8.3,0.001000
300,4.587898,0.010104,4.589246,0.010584,11.5,0.001000
400,4.583828,0.010424,4.585038,0.010460,14.7,0.001000
500,4.579430,0.010328,4.580534,0.010076,17.8,0.001000
600,4.580410,0.010492,4.581488,0.010304,21.0,0.001000
700,4.578710,0.010500,4.579648,0.010312,24.1,0.001000
800,4.578994,0.010372,4.580021,0.010492,27.3,0.001000
900,4.576403,0.011424,4.577925,0.010052,30.4,0.001000
1000,4.575710,0.010920,4.577619,0.010604,33.6,0.001000
1100,4.541057,0.013824,4.543932,0.013272,36.7,0.001000
1200,3.556376,0.084072,3.557256,0.082436,39.8,0.001000
1300,3.055447,0.150840,3.056331,0.148320,43.0,0.001000
1400,2.879207,0.169800,2.879816,0.167264,46.1,0.001000
1500,2.762663,0.230012,2.763931,0.227720,49.3,0.001000
1600,2.698386,0.217028,2.699276,0.213396,52.4,0.001000
1700,2.623695,0.146508,2.624943,0.144292,55.5,0.001000
1800,2.573763,0.162856,2.574917,0.159892,58.6,0.001000
1900,2.432385,0.187288,2.433766,0.185252,61.8,0.001000
2000,2.591250,0.119120,2.593471,0.116860,64.9,0.001000
2100,2.513478,0.152828,2.514332,0.150580,68.0,0.001000
2200,2.444272,0.161620,2.446213,0.161120,71.1,0.001000
2300,2.293637,0.193716,2.295076,0.190580,74.3,0.001000
2400,2.258053,0.212804,2.259504,0.212236,77.4,0.001000
2500,2.346533,0.162616,2.347878,0.162960,80.5,0.001000
2600,2.192724,0.243340,2.195796,0.240060,83.6,0.001000
2700,2.220275,0.219992,2.221247,0.219740,86.7,0.001000
2800,2.162443,0.255580,2.162550,0.253456,89.8,0.001000
2900,2.212012,0.222144,2.214657,0.219948,92.9,0.001000
3000,2.285227,0.173552,2.285628,0.172984,96.1,0.001000
3100,2.183851,0.221832,2.187669,0.220280,99.2,0.001000
3200,2.259037,0.175440,2.261526,0.174404,102.3,0.001000
3300,2.079797,0.284796,2.081404,0.281792,105.4,0.001000
3400,2.173686,0.198140,2.175355,0.197524,108.5,0.001000
3500,2.095675,0.226780,2.096609,0.224224,111.6,0.001000
3600,2.027536,0.262796,2.029573,0.261284,114.8,0.001000
3700,2.045914,0.281148,2.046000,0.280040,117.9,0.001000
3800,1.956305,0.329684,1.956311,0.327200,121.0,0.001000
3900,2.029615,0.263396,2.030004,0.262240,124.1,0.001000
4000,1.940343,0.289308,1.941991,0.288256,127.2,0.001000
4100,1.939747,0.290056,1.941671,0.288588,130.3,0.001000
4200,1.920673,0.302396,1.922405,0.300236,133.4,0.001000
4300,2.077595,0.164472,2.079747,0.162708,136.6,0.001000
4400,1.875410,0.294108,1.877576,0.291172,139.7,0.001000
4500,2.002903,0.231196,2.004122,0.229592,142.8,0.001000
4600,1.850119,0.287080,1.852445,0.285784,145.9,0.001000
4700,1.850180,0.284232,1.853187,0.283332,149.0,0.001000
4800,1.837343,0.282276,1.841227,0.279392,152.1,0.001000
4900,1.896409,0.270720,1.898503,0.267664,155.2,0.001000
5000,1.744924,0.319420,1.746873,0.316104,158.3,0.001000
5100,1.814140,0.314540,1.813700,0.310476,161.4,0.001000
5200,2.066330,0.119156,2.071008,0.117576,164.5,0.001000
5300,1.839937,0.258772,1.840655,0.258496,167.6,0.001000
5400,1.673141,0.341316,1.676881,0.338104,170.7,0.001000
5500,1.738932,0.315160,1.740015,0.313604,173.8,0.001000
5600,1.866375,0.273016,1.868158,0.271520,176.9,0.001000
5700,1.756137,0.256396,1.757253,0.255132,180.1,0.001000
5800,1.685252,0.360420,1.687712,0.356732,183.2,0.001000
5900,1.707530,0.303288,1.710603,0.301200,186.3,0.001000
6000,1.614072,0.388560,1.615669,0.388440,189.4,0.001000
6100,1.655781,0.358764,1.658314,0.357060,192.5,0.001000
6200,1.608792,0.393944,1.612294,0.389572,195.6,0.001000
6300,1.609353,0.384316,1.612353,0.379604,198.7,0.001000
6400,1.634217,0.396820,1.637155,0.393496,201.8,0.001000
6500,1.695505,0.330644,1.697175,0.329432,204.9,0.001000
6600,1.752641,0.274772,1.753397,0.273128,208.0,0.001000
6700,1.776146,0.195460,1.779026,0.194680,211.1,0.001000
6800,1.833953,0.261472,1.834606,0.259612,214.2,0.001000
6900,1.693967,0.317728,1.695448,0.316732,217.4,0.001000
7000,1.558744,0.412628,1.561261,0.410136,220.4,0.001000
7100,2.752303,0.150300,2.759150,0.148116,223.5,0.001000
7200,1.623150,0.370432,1.625515,0.369392,226.6,0.001000
7300,1.550557,0.424596,1.553327,0.421172,229.7,0.001000
7400,1.889121,0.203440,1.892768,0.200296,232.8,0.001000
7500,1.649388,0.378852,1.650742,0.377436,235.9,0.001000
7600,2.036964,0.180636,2.039091,0.178768,239.0,0.001000
7700,1.607686,0.362492,1.610061,0.361760,242.1,0.001000
7800,1.775802,0.246984,1.779310,0.244040,245.2,0.001000
7900,1.746960,0.246704,1.749343,0.245372,248.3,0.001000
8000,1.560623,0.388852,1.562019,0.388280,251.4,0.001000
8100,1.768049,0.285636,1.768062,0.285272,254.5,0.001000
8200,1.531250,0.369844,1.533559,0.368336,257.6,0.001000
8300,1.412171,0.540576,1.414389,0.537740,260.7,0.001000
8400,1.538789,0.406360,1.539828,0.404904,263.8,0.001000
8500,1.747447,0.286616,1.750069,0.284816,266.9,0.001000
8600,2.209421,0.129560,2.212797,0.128168,270.0,0.001000
8700,1.549312,0.376148,1.553244,0.372808,273.1,0.001000
8800,1.687514,0.272816,1.688679,0.270976,276.2,0.001000
8900,1.611995,0.290580,1.613106,0.289016,279.3,0.001000
9000,1.625703,0.300908,1.626745,0.299728,282.4,0.001000
9100,1.583565,0.362260,1.587106,0.357676,285.5,0.001000
9200,1.490674,0.395056,1.491385,0.395300,288.7,0.001000
9300,1.737891,0.230596,1.739731,0.228260,291.7,0.001000
9400,1.675889,0.293516,1.677498,0.292236,294.8,0.001000
9500,1.472216,0.442300,1.474261,0.440832,297.9,0.001000
9600,2.049360,0.172864,2.049451,0.172384,301.1,0.001000
9700,1.719540,0.308736,1.723281,0.308516,304.2,0.001000
9800,1.460929,0.409964,1.463961,0.406928,307.3,0.001000
9900,1.735228,0.278036,1.731457,0.278056,310.4,0.001000
10000,1.625064,0.346916,1.625271,0.345364,313.5,0.001000
10100,1.621246,0.341004,1.623667,0.339540,316.6,0.001000
10200,1.745355,0.288088,1.746395,0.287832,319.7,0.001000
10300,1.686432,0.358396,1.690945,0.354056,322.8,0.001000
10400,1.458952,0.416968,1.463668,0.410340,325.9,0.001000
10500,1.823942,0.186256,1.826083,0.184792,329.0,0.001000
10600,1.805044,0.232568,1.807078,0.232988,332.1,0.001000
10700,1.616971,0.376580,1.618949,0.377816,335.2,0.001000
10800,1.579870,0.349072,1.584470,0.346076,338.3,0.001000
10900,1.690904,0.173280,1.692904,0.173028,341.4,0.001000
11000,1.444039,0.464388,1.447208,0.460908,344.5,0.001000
11100,1.416342,0.492196,1.418753,0.489412,347.6,0.001000
11200,1.550255,0.286588,1.552059,0.286524,350.7,0.001000
11300,1.394406,0.462920,1.398096,0.460568,353.7,0.001000
11400,1.419477,0.509732,1.421434,0.507880,356.9,0.001000
11500,1.397885,0.496036,1.400768,0.494180,359.9,0.001000
11600,1.705051,0.253880,1.707915,0.253240,363.1,0.001000
11700,1.545452,0.302232,1.548026,0.301212,366.1,0.001000
11800,1.657628,0.311616,1.660060,0.310736,369.2,0.001000
11900,1.911675,0.113504,1.915271,0.113764,372.4,0.001000
12000,1.547782,0.429032,1.547015,0.429824,375.5,0.001000
