step,train_loss,train_acc,test_loss,test_acc,elapsed_sec,lr
0,5.179306,0.009779,5.170198,0.011902,0.2,0.000200
100,4.594794,0.012755,4.595027,0.007864,0.8,0.010000
200,4.594812,0.011267,4.595020,0.009352,1.5,0.010000
300,4.594829,0.012755,4.595001,0.007864,2.3,0.010000
400,4.594811,0.011692,4.595022,0.008927,3.0,0.010000
500,4.594815,0.012755,4.595015,0.007864,3.6,0.010000
600,4.594828,0.012330,4.595005,0.008289,4.2,0.010000
700,4.594853,0.012330,4.594978,0.008289,4.9,0.010000
800,4.594818,0.012330,4.595012,0.008289,5.7,0.010000
900,4.594824,0.012755,4.595007,0.007864,6.4,0.010000
1000,4.594799,0.011905,4.595032,0.008714,7.1,0.010000
1100,4.594804,0.012755,4.595028,0.007864,7.7,0.010000
1200,4.594813,0.012755,4.595017,0.007864,8.3,0.010000
1300,4.594821,0.010842,4.595012,0.009777,8.9,0.010000
1400,4.594813,0.012755,4.595020,0.007864,9.4,0.010000
1500,4.594804,0.012755,4.595029,0.007864,10.0,0.010000
1600,4.594815,0.011905,4.595015,0.008714,10.7,0.010000
1700,4.594815,0.011692,4.595016,0.008927,11.4,0.010000
1800,4.594824,0.011267,4.595009,0.009352,12.1,0.010000
1900,4.594806,0.012755,4.595025,0.007864,12.8,0.010000
2000,4.594807,0.011267,4.595025,0.009352,13.4,0.010000
2100,4.594833,0.012330,4.594999,0.008289,14.0,0.010000
2200,4.594812,0.011905,4.595020,0.008714,14.6,0.010000
2300,4.594821,0.011692,4.595011,0.008927,15.2,0.010000
2400,4.594805,0.011692,4.595025,0.008927,15.8,0.010000
2500,4.594824,0.011267,4.595008,0.009352,16.4,0.010000
2600,4.594821,0.011692,4.595010,0.008927,17.0,0.010000
2700,4.594817,0.012330,4.595014,0.008289,17.5,0.010000
2800,4.594810,0.012755,4.595021,0.007864,18.1,0.010000
2900,4.594812,0.011905,4.595018,0.008714,18.7,0.010000
3000,4.594813,0.012755,4.595019,0.007864,19.3,0.010000
3100,4.594831,0.012755,4.594999,0.007864,19.8,0.010000
3200,4.594842,0.012755,4.594990,0.007864,20.4,0.010000
3300,4.594794,0.012755,4.595037,0.007864,21.0,0.010000
3400,4.594829,0.012330,4.595002,0.008289,21.6,0.010000
3500,4.594800,0.011905,4.595032,0.008714,22.2,0.010000
3600,4.594811,0.011905,4.595022,0.008714,22.8,0.010000
3700,4.594817,0.011905,4.595014,0.008714,23.4,0.010000
3800,4.594814,0.012755,4.595017,0.007864,24.0,0.010000
3900,4.594800,0.011692,4.595030,0.008927,24.5,0.010000
4000,4.594806,0.012755,4.595026,0.007864,25.1,0.010000
4100,4.594802,0.011054,4.595029,0.009564,25.7,0.010000
4200,4.594811,0.012755,4.595021,0.007864,26.3,0.010000
4300,4.594824,0.012755,4.595006,0.007864,26.9,0.010000
4400,4.594798,0.012330,4.595036,0.008289,27.5,0.010000
4500,4.594821,0.011905,4.595013,0.008714,28.0,0.010000
4600,4.594821,0.011480,4.595010,0.009139,28.6,0.010000
4700,4.594818,0.012755,4.595015,0.007864,29.2,0.010000
4800,4.594810,0.011905,4.595023,0.008714,29.7,0.010000
4900,4.594822,0.011692,4.595008,0.008927,30.3,0.010000
5000,4.594817,0.012755,4.595015,0.007864,30.8,0.010000
5100,4.594808,0.011905,4.595023,0.008714,31.4,0.010000
5200,4.594820,0.012755,4.595013,0.007864,32.0,0.010000
5300,4.594821,0.012330,4.595012,0.008289,32.6,0.010000
5400,4.594818,0.010629,4.595015,0.009989,33.1,0.010000
5500,4.594802,0.012330,4.595029,0.008289,33.7,0.010000
5600,4.594818,0.010842,4.595013,0.009777,34.3,0.010000
5700,4.594813,0.012755,4.595016,0.007864,34.8,0.010000
5800,4.594803,0.011905,4.595028,0.008714,35.4,0.010000
5900,4.594812,0.011692,4.595020,0.008927,36.1,0.010000
6000,4.594805,0.011905,4.595026,0.008714,36.6,0.010000
6100,4.594831,0.010629,4.595000,0.009989,37.2,0.010000
6200,4.594803,0.011692,4.595027,0.008927,37.8,0.010000
6300,4.594812,0.011905,4.595018,0.008714,38.4,0.010000
6400,4.594835,0.012755,4.594995,0.007864,39.0,0.010000
6500,4.594816,0.012330,4.595013,0.008289,39.5,0.010000
6600,4.594818,0.011054,4.595013,0.009564,40.1,0.010000
6700,4.594809,0.011054,4.595023,0.009564,40.7,0.010000
6800,4.594804,0.011905,4.595028,0.008714,41.2,0.010000
6900,4.594810,0.012755,4.595022,0.007864,42.0,0.010000
7000,4.594814,0.012330,4.595016,0.008289,42.7,0.010000
7100,4.594816,0.012330,4.595016,0.008289,43.3,0.010000
7200,4.594820,0.011905,4.595009,0.008714,43.9,0.010000
7300,4.594820,0.011905,4.595012,0.008714,44.5,0.010000
7400,4.594820,0.012330,4.595013,0.008289,45.1,0.010000
7500,4.594816,0.011905,4.595016,0.008714,45.7,0.010000
7600,4.594811,0.011905,4.595022,0.008714,46.2,0.010000
7700,4.594819,0.010842,4.595012,0.009777,46.8,0.010000
7800,4.594817,0.011905,4.595015,0.008714,47.4,0.010000
7900,4.594815,0.012755,4.595016,0.007864,48.0,0.010000
8000,4.594819,0.011267,4.595013,0.009352,48.6,0.010000
8100,4.594811,0.012330,4.595020,0.008289,49.1,0.010000
8200,4.594810,0.011480,4.595021,0.009139,49.7,0.010000
8300,4.594821,0.012755,4.595009,0.007864,50.2,0.010000
8400,4.594820,0.011905,4.595012,0.008714,50.9,0.010000
8500,4.594805,0.011692,4.595026,0.008927,51.4,0.010000
8600,4.594814,0.012330,4.595017,0.008289,52.0,0.010000
8700,4.594811,0.012330,4.595020,0.008289,52.6,0.010000
8800,4.594804,0.012755,4.595026,0.007864,53.2,0.010000
8900,4.594798,0.012755,4.595035,0.007864,53.8,0.010000
9000,4.594824,0.011480,4.595007,0.009139,54.4,0.010000
9100,4.594833,0.011692,4.594999,0.008927,54.9,0.010000
9200,4.594818,0.011905,4.595013,0.008714,55.5,0.010000
9300,4.594804,0.011480,4.595026,0.009139,56.1,0.010000
9400,4.594827,0.011267,4.595008,0.009352,56.6,0.010000
9500,4.594818,0.011905,4.595014,0.008714,57.2,0.010000
9600,4.594804,0.011267,4.595027,0.009352,57.8,0.010000
9700,4.594830,0.012755,4.595001,0.007864,58.4,0.010000
9800,4.594812,0.011054,4.595020,0.009564,59.0,0.010000
9900,4.594810,0.012755,4.595022,0.007864,59.6,0.010000
10000,4.594835,0.011905,4.594995,0.008714,60.2,0.010000
10100,4.594828,0.012755,4.595005,0.007864,60.8,0.010000
10200,4.594812,0.011905,4.595019,0.008714,61.3,0.010000
10300,4.594825,0.011054,4.595005,0.009564,61.9,0.010000
10400,4.594819,0.012755,4.595013,0.007864,62.5,0.010000
10500,4.594827,0.010417,4.595004,0.010202,63.1,0.010000
10600,4.594815,0.012755,4.595017,0.007864,63.7,0.010000
10700,4.594810,0.011692,4.595022,0.008927,64.2,0.010000
10800,4.594800,0.011692,4.595033,0.008927,64.8,0.010000
10900,4.594809,0.012755,4.595022,0.007864,65.4,0.010000
11000,4.594792,0.012755,4.595038,0.007864,66.0,0.010000
11100,4.594805,0.011480,4.595027,0.009139,66.6,0.010000
11200,4.594820,0.011480,4.595010,0.009139,67.1,0.010000
11300,4.594813,0.010629,4.595018,0.009989,67.7,0.010000
11400,4.594816,0.012755,4.595016,0.007864,68.3,0.010000
11500,4.594797,0.012755,4.595036,0.007864,68.8,0.010000
11600,4.594825,0.011054,4.595008,0.009564,69.5,0.010000
11700,4.594801,0.012755,4.595028,0.007864,70.1,0.010000
11800,4.594809,0.012330,4.595025,0.008289,70.7,0.010000
11900,4.594815,0.011905,4.595015,0.008714,71.3,0.010000
12000,4.594822,0.012755,4.595009,0.007864,71.9,0.010000
12100,4.594796,0.012330,4.595035,0.008289,72.4,0.010000
12200,4.594815,0.011905,4.595018,0.008714,73.0,0.010000
12300,4.594818,0.012755,4.595013,0.007864,73.6,0.010000
12400,4.594826,0.011692,4.595006,0.008927,74.2,0.010000
12500,4.594812,0.012330,4.595019,0.008289,74.8,0.010000
12600,4.594833,0.011267,4.594998,0.009352,75.3,0.010000
12700,4.594818,0.011905,4.595013,0.008714,75.8,0.010000
12800,4.594828,0.012755,4.595005,0.007864,76.5,0.010000
12900,4.594796,0.012755,4.595036,0.007864,77.1,0.010000
13000,4.594802,0.012330,4.595030,0.008289,77.6,0.010000
13100,4.594841,0.011692,4.594990,0.008927,78.1,0.010000
13200,4.594807,0.011692,4.595023,0.008927,78.8,0.010000
13300,4.594830,0.011692,4.594999,0.008927,79.3,0.010000
13400,4.594833,0.011905,4.594997,0.008714,79.9,0.010000
13500,4.594811,0.011692,4.595018,0.008927,80.5,0.010000
13600,4.594824,0.011905,4.595009,0.008714,81.1,0.010000
13700,4.594804,0.011905,4.595025,0.008714,81.7,0.010000
13800,4.594839,0.012755,4.594991,0.007864,82.2,0.010000
13900,4.594821,0.012755,4.595010,0.007864,82.8,0.010000
14000,4.594812,0.011905,4.595019,0.008714,83.4,0.010000
14100,4.594802,0.011905,4.595030,0.008714,84.0,0.010000
14200,4.594805,0.012755,4.595025,0.007864,84.6,0.010000
14300,4.594827,0.011905,4.595005,0.008714,85.1,0.010000
14400,4.594817,0.011054,4.595014,0.009564,85.7,0.010000
14500,4.594820,0.011054,4.595012,0.009564,86.3,0.010000
14600,4.594804,0.012755,4.595029,0.007864,86.9,0.010000
14700,4.594819,0.012755,4.595010,0.007864,87.4,0.010000
14800,4.594826,0.011905,4.595005,0.008714,87.9,0.010000
14900,4.594822,0.012330,4.595007,0.008289,88.5,0.010000
15000,4.594810,0.012755,4.595021,0.007864,89.1,0.010000
15100,4.594797,0.011692,4.595036,0.008927,89.7,0.010000
15200,4.594809,0.012755,4.595020,0.007864,90.4,0.010000
15300,4.594815,0.011905,4.595015,0.008714,90.9,0.010000
15400,4.594812,0.012755,4.595018,0.007864,91.5,0.010000
15500,4.594826,0.011905,4.595008,0.008714,92.1,0.010000
15600,4.594798,0.011054,4.595031,0.009564,92.7,0.010000
15700,4.594815,0.010417,4.595015,0.010202,93.2,0.010000
15800,4.594814,0.012755,4.595018,0.007864,93.8,0.010000
15900,4.594814,0.012755,4.595018,0.007864,94.4,0.010000
16000,4.594810,0.012755,4.595022,0.007864,95.1,0.010000
16100,4.594813,0.011267,4.595018,0.009352,95.6,0.010000
16200,4.594804,0.012755,4.595027,0.007864,96.2,0.010000
16300,4.594823,0.012755,4.595007,0.007864,96.8,0.010000
16400,4.594819,0.012755,4.595012,0.007864,97.4,0.010000
16500,4.594823,0.012330,4.595007,0.008289,97.9,0.010000
16600,4.594811,0.010842,4.595023,0.009777,98.5,0.010000
16700,4.594816,0.011692,4.595016,0.008927,99.1,0.010000
16800,4.594810,0.011905,4.595021,0.008714,99.7,0.010000
16900,4.594837,0.011692,4.594994,0.008927,100.2,0.010000
17000,4.594808,0.012755,4.595024,0.007864,100.8,0.010000
17100,4.594820,0.011692,4.595012,0.008927,101.3,0.010000
17200,4.594829,0.011054,4.595001,0.009564,101.9,0.010000
17300,4.594818,0.011905,4.595015,0.008714,102.5,0.010000
17400,4.594821,0.011692,4.595011,0.008927,103.0,0.010000
17500,4.594824,0.011905,4.595007,0.008714,103.6,0.010000
17600,4.594824,0.011054,4.595008,0.009564,104.2,0.010000
17700,4.594821,0.012755,4.595009,0.007864,104.8,0.010000
17800,4.594814,0.012330,4.595019,0.008289,105.4,0.010000
17900,4.594818,0.012755,4.595015,0.007864,105.9,0.010000
18000,4.594811,0.011480,4.595021,0.009139,106.5,0.010000
18100,4.594813,0.011905,4.595018,0.008714,107.1,0.010000
18200,4.594818,0.011692,4.595015,0.008927,107.6,0.010000
