step,train_loss,train_acc,test_loss,test_acc,elapsed_sec,lr
0,5.059676,0.006803,5.099361,0.005739,0.2,0.000010
100,4.559032,0.014668,4.659863,0.007864,0.8,0.000500
200,4.118354,0.114158,5.265444,0.004463,1.6,0.000500
300,2.860513,0.440051,4.999967,0.057173,2.3,0.000500
400,1.501654,0.759566,4.151603,0.238257,2.9,0.000500
500,0.592918,0.961097,3.345426,0.435494,3.6,0.000500
600,0.212758,0.998512,2.967188,0.481403,4.2,0.000500
700,0.085317,1.000000,2.832840,0.485654,4.9,0.000500
800,0.037449,1.000000,2.762690,0.488204,5.5,0.000500
900,0.020231,1.000000,2.709540,0.489692,6.1,0.000500
1000,0.020295,1.000000,2.699638,0.493943,6.7,0.000500
1100,0.004553,1.000000,2.520879,0.502232,7.4,0.000500
1200,0.003252,1.000000,2.489894,0.503507,8.0,0.000500
1300,0.038373,0.998724,2.363644,0.509245,8.7,0.000500
1400,0.002575,1.000000,2.033038,0.535175,9.4,0.000500
1500,0.002530,1.000000,2.053386,0.527949,10.0,0.000500
1600,0.162458,0.974915,2.444497,0.500744,10.7,0.000500
1700,0.003229,0.999787,1.437751,0.611690,11.4,0.000500
1800,0.002291,1.000000,1.422253,0.607439,12.0,0.000500
1900,0.002332,1.000000,1.455393,0.605951,12.7,0.000500
2000,0.003361,1.000000,0.760225,0.778108,13.3,0.000500
2100,0.002332,1.000000,0.760420,0.775983,13.9,0.000500
2200,0.002244,1.000000,0.799525,0.771307,14.6,0.000500
2300,0.003225,1.000000,0.265575,0.946652,15.3,0.000500
2400,0.002019,1.000000,0.239106,0.964293,15.9,0.000500
2500,0.001758,1.000000,0.237067,0.961955,16.6,0.000500
2600,0.004300,1.000000,0.074495,0.992561,17.2,0.000500
2700,0.001552,1.000000,0.033410,0.997024,17.9,0.000500
2800,0.001327,1.000000,0.030470,0.996387,18.6,0.000500
2900,0.000785,1.000000,0.019204,0.998300,19.2,0.000500
3000,0.000362,1.000000,0.008163,0.998937,19.9,0.000500
3100,0.000808,1.000000,0.004968,0.999787,20.5,0.000500
3200,0.000775,1.000000,0.004916,1.000000,21.2,0.000500
3300,0.000649,1.000000,0.004196,1.000000,21.9,0.000500
3400,0.010148,0.999787,0.026440,0.998725,22.5,0.000500
3500,0.000685,1.000000,0.002053,1.000000,23.2,0.000500
3600,0.000733,1.000000,0.002476,1.000000,23.8,0.000500
3700,0.000493,1.000000,0.001716,1.000000,24.5,0.000500
3800,0.016062,1.000000,0.031348,0.998300,25.1,0.000500
3900,0.000411,1.000000,0.000974,1.000000,25.8,0.000500
4000,0.000504,1.000000,0.001322,1.000000,26.4,0.000500
4100,0.000339,1.000000,0.000834,1.000000,27.1,0.000500
4200,0.000639,1.000000,0.001139,1.000000,27.8,0.000500
4300,0.000433,1.000000,0.000804,1.000000,28.6,0.000500
4400,0.000403,1.000000,0.000798,1.000000,29.3,0.000500
4500,0.000228,1.000000,0.000387,1.000000,30.0,0.000500
4600,0.000108,1.000000,0.000186,1.000000,30.7,0.000500
4700,0.000250,1.000000,0.000380,1.000000,31.6,0.000500
4800,0.000279,1.000000,0.000449,1.000000,32.3,0.000500
4900,0.000285,1.000000,0.000477,1.000000,33.0,0.000500
5000,0.000167,1.000000,0.000263,1.000000,33.7,0.000500
5100,0.000411,1.000000,0.000597,1.000000,34.3,0.000500
