step,train_loss,train_acc,test_loss,test_acc,elapsed_sec,lr
0,5.112442,0.010842,5.117191,0.010627,0.0,0.000020
100,4.398571,0.045706,4.923910,0.004463,1.0,0.001000
200,1.535445,0.722364,4.739476,0.221041,2.0,0.001000
300,0.058223,1.000000,4.021355,0.491392,2.9,0.001000
400,0.009879,1.000000,4.175402,0.491817,3.9,0.001000
500,0.003001,1.000000,4.313614,0.491180,4.8,0.001000
600,0.000973,1.000000,4.462787,0.491605,5.7,0.001000
700,0.000321,1.000000,4.608689,0.491605,6.7,0.001000
800,0.000110,1.000000,4.754626,0.491817,7.7,0.001000
900,0.000037,1.000000,4.899853,0.492030,8.6,0.001000
1000,0.000013,1.000000,5.053034,0.491817,9.6,0.001000
1100,0.000005,1.000000,5.202403,0.492242,10.5,0.001000
1200,0.005315,0.999575,5.347080,0.491180,11.5,0.001000
1300,0.000189,1.000000,5.320498,0.491817,12.4,0.001000
1400,0.000096,1.000000,5.275293,0.492030,13.4,0.001000
1500,0.000049,1.000000,5.251787,0.492242,14.3,0.001000
1600,0.000025,1.000000,5.248380,0.492455,15.2,0.001000
1700,0.000012,1.000000,5.280058,0.492880,16.2,0.001000
1800,0.000005,1.000000,5.349565,0.493518,17.1,0.001000
1900,0.000002,1.000000,5.467036,0.492880,18.1,0.001000
2000,0.000001,1.000000,5.618358,0.493305,19.0,0.001000
2100,0.000000,1.000000,5.777204,0.493305,20.0,0.001000
2200,0.000000,1.000000,5.893684,0.493092,21.0,0.001000
2300,0.000000,1.000000,5.925804,0.493092,22.0,0.001000
2400,0.000000,1.000000,5.895094,0.493305,23.0,0.001000
2500,0.000000,1.000000,5.874634,0.492667,23.9,0.001000
2600,0.000000,1.000000,5.814054,0.493092,24.9,0.001000
2700,0.006917,0.998937,5.947626,0.491392,25.8,0.001000
2800,0.000104,1.000000,5.865948,0.492880,26.8,0.001000
2900,0.000051,1.000000,5.784880,0.492880,27.7,0.001000
3000,0.000026,1.000000,5.713929,0.492880,28.6,0.001000
3100,0.000013,1.000000,5.658494,0.492667,29.6,0.001000
3200,0.000006,1.000000,5.617311,0.492667,30.5,0.001000
3300,0.000003,1.000000,5.596340,0.493305,31.5,0.001000
3400,0.000001,1.000000,5.606333,0.493518,32.5,0.001000
3500,0.000001,1.000000,5.650777,0.493305,33.4,0.001000
3600,0.000000,1.000000,5.711975,0.493092,34.4,0.001000
3700,0.000000,1.000000,5.762833,0.493518,35.3,0.001000
3800,0.000000,1.000000,5.736730,0.493730,36.3,0.001000
3900,0.000000,1.000000,5.686145,0.493943,37.2,0.001000
4000,0.000000,1.000000,5.649667,0.493943,38.2,0.001000
4100,0.000000,1.000000,5.684806,0.494155,39.1,0.001000
4200,0.001370,1.000000,5.782720,0.491392,40.1,0.001000
4300,0.000109,1.000000,5.674545,0.492242,41.0,0.001000
4400,0.000053,1.000000,5.605394,0.492030,42.0,0.001000
4500,0.000026,1.000000,5.547230,0.492030,42.9,0.001000
4600,0.000012,1.000000,5.503446,0.492030,43.8,0.001000
4700,0.000006,1.000000,5.468808,0.492455,44.8,0.001000
4800,0.000003,1.000000,5.452708,0.492880,45.7,0.001000
4900,0.000001,1.000000,5.461131,0.493092,46.7,0.001000
5000,0.000001,1.000000,5.490637,0.493305,47.6,0.001000
5100,0.000000,1.000000,5.544071,0.493305,48.5,0.001000
5200,0.000000,1.000000,5.569800,0.493518,49.5,0.001000
5300,0.000000,1.000000,5.534990,0.493730,50.4,0.001000
5400,0.000000,1.000000,5.483848,0.493943,51.4,0.001000
5500,0.549609,0.886692,6.310507,0.434857,52.3,0.001000
5600,0.002664,0.999362,5.584049,0.492455,53.3,0.001000
5700,0.000072,1.000000,5.475060,0.492880,54.2,0.001000
5800,0.000037,1.000000,5.403389,0.492880,55.2,0.001000
5900,0.000019,1.000000,5.348374,0.492667,56.1,0.001000
6000,0.000009,1.000000,5.309735,0.492880,57.1,0.001000
6100,0.000004,1.000000,5.282550,0.493092,58.1,0.001000
6200,0.000002,1.000000,5.264904,0.493305,59.1,0.001000
6300,0.000001,1.000000,5.276617,0.494155,60.1,0.001000
6400,0.000000,1.000000,5.311750,0.494155,61.0,0.001000
6500,0.000000,1.000000,5.355343,0.494368,62.0,0.001000
6600,0.000000,1.000000,5.369684,0.494368,62.9,0.001000
6700,0.000000,1.000000,5.328524,0.494793,63.9,0.001000
6800,0.000000,1.000000,5.304293,0.494368,64.8,0.001000
6900,0.211743,0.943027,5.698102,0.448672,65.7,0.001000
7000,0.000277,1.000000,5.286095,0.493092,66.7,0.001000
7100,0.000070,1.000000,5.210123,0.493305,67.6,0.001000
7200,0.000036,1.000000,5.139029,0.493092,68.6,0.001000
7300,0.000018,1.000000,5.086483,0.494155,69.5,0.001000
7400,0.000009,1.000000,5.050467,0.494155,70.5,0.001000
7500,0.000004,1.000000,5.030586,0.494580,71.4,0.001000
7600,0.000002,1.000000,5.029022,0.494580,72.3,0.001000
7700,0.000001,1.000000,5.049651,0.494793,73.3,0.001000
7800,0.000000,1.000000,5.087009,0.495005,74.2,0.001000
7900,0.000000,1.000000,5.130275,0.494793,75.1,0.001000
8000,0.000000,1.000000,5.126850,0.495005,76.1,0.001000
8100,0.000000,1.000000,5.091324,0.495005,77.0,0.001000
8200,0.000000,1.000000,5.069706,0.495430,78.0,0.001000
8300,0.149304,0.962372,5.251055,0.462912,78.9,0.001000
8400,0.000202,1.000000,5.034235,0.492880,79.9,0.001000
8500,0.000069,1.000000,4.937373,0.493518,80.9,0.001000
8600,0.000035,1.000000,4.857890,0.493305,81.9,0.001000
8700,0.000018,1.000000,4.804509,0.493518,82.8,0.001000
8800,0.000008,1.000000,4.767128,0.493518,83.8,0.001000
8900,0.000004,1.000000,4.751284,0.494155,84.7,0.001000
9000,0.000002,1.000000,4.752160,0.495218,85.7,0.001000
9100,0.000001,1.000000,4.779305,0.494793,86.6,0.001000
9200,0.000000,1.000000,4.827140,0.495218,87.6,0.001000
9300,0.000000,1.000000,4.877071,0.494368,88.5,0.001000
9400,0.000000,1.000000,4.881325,0.495430,89.5,0.001000
9500,0.000000,1.000000,4.853192,0.495430,90.4,0.001000
9600,1.465022,0.663265,6.512699,0.306482,91.4,0.001000
9700,0.000433,1.000000,4.528161,0.496068,92.3,0.001000
9800,0.000084,1.000000,4.438990,0.496493,93.3,0.001000
9900,0.000042,1.000000,4.376663,0.497343,94.2,0.001000
10000,0.000021,1.000000,4.330736,0.496918,95.1,0.001000
10100,0.000010,1.000000,4.303033,0.497556,96.1,0.001000
10200,0.000005,1.000000,4.288087,0.498406,97.0,0.001000
10300,0.000002,1.000000,4.301524,0.497981,98.0,0.001000
10400,0.000001,1.000000,4.344027,0.497768,98.9,0.001000
10500,0.000000,1.000000,4.402185,0.497981,99.8,0.001000
10600,0.000000,1.000000,4.472425,0.499044,100.8,0.001000
10700,0.000000,1.000000,4.501760,0.499256,101.7,0.001000
10800,0.000000,1.000000,4.508441,0.498618,102.7,0.001000
10900,0.000000,1.000000,4.515340,0.497768,103.6,0.001000
11000,0.055877,0.989158,4.285185,0.492455,104.5,0.001000
11100,0.000138,1.000000,3.756910,0.510096,105.5,0.001000
11200,0.000058,1.000000,3.656667,0.509245,106.4,0.001000
11300,0.000030,1.000000,3.598310,0.509671,107.4,0.001000
11400,0.000015,1.000000,3.563948,0.511583,108.3,0.001000
11500,0.000007,1.000000,3.549793,0.512859,109.3,0.001000
11600,0.000003,1.000000,3.557471,0.512434,110.2,0.001000
11700,0.000001,1.000000,3.601424,0.510308,111.2,0.001000
11800,0.000001,1.000000,3.669742,0.507970,112.1,0.001000
11900,0.000000,1.000000,3.762943,0.505420,113.0,0.001000
